Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1970,1970,%,28.202966,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1971,1971,%,29.45705,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1972,1972,%,30.44479,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1973,1973,%,30.265759,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1974,1974,%,34.74363,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1975,1975,%,31.187677,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1976,1976,%,33.44497,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1977,1977,%,33.346423,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1978,1978,%,33.064737,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1979,1979,%,33.241928,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1980,1980,%,33.433594,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1981,1981,%,34.446403,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1982,1982,%,36.084971,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1983,1983,%,34.207213,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1984,1984,%,34.249902,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1985,1985,%,36.332167,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1986,1986,%,38.849257,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1987,1987,%,36.757741,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1988,1988,%,38.032441,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1989,1989,%,36.885168,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1990,1990,%,37.613254,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1991,1991,%,35.770067,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1992,1992,%,36.503154,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1993,1993,%,36.430612,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1994,1994,%,35.568673,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1995,1995,%,36.613782,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1996,1996,%,41.678603,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1997,1997,%,42.722225,X,Figure from external organization,
