region,iso3c,country,variable,years_observed,non_missing,missing,missing_share,first_non_missing_year,last_non_missing_year
CAEMC,CAF,Central African Republic,agriculture,42,13,29,0.6904761904761905,2009,2021
CAEMC,CAF,Central African Republic,alt_inflation,42,41,1,0.023809523809523808,1981,2021
CAEMC,CAF,Central African Republic,cgdpo,42,40,2,0.047619047619047616,1980,2019
CAEMC,CAF,Central African Republic,csh_g,42,40,2,0.047619047619047616,1980,2019
CAEMC,CAF,Central African Republic,csh_i,42,40,2,0.047619047619047616,1980,2019
CAEMC,CAF,Central African Republic,emp,42,40,2,0.047619047619047616,1980,2019
CAEMC,CAF,Central African Republic,fdi,42,42,0,0,1980,2021
CAEMC,CAF,Central African Republic,gdp_pc,42,40,2,0.047619047619047616,1980,2019
CAEMC,CAF,Central African Republic,gdp_pc_current,42,40,2,0.047619047619047616,1980,2019
CAEMC,CAF,Central African Republic,gdp_pc_wdi,42,32,10,0.23809523809523808,1990,2021
CAEMC,CAF,Central African Republic,gdp_pc_wdi_alt,42,42,0,0,1980,2021
CAEMC,CAF,Central African Republic,govt_share,42,40,2,0.047619047619047616,1980,2019
CAEMC,CAF,Central African Republic,hc,42,40,2,0.047619047619047616,1980,2019
CAEMC,CAF,Central African Republic,industry,42,13,29,0.6904761904761905,2009,2021
CAEMC,CAF,Central African Republic,inflation,42,42,0,0,1980,2021
CAEMC,CAF,Central African Republic,invest_share,42,40,2,0.047619047619047616,1980,2019
CAEMC,CAF,Central African Republic,iso2c,42,42,0,0,1980,2021
CAEMC,CAF,Central African Republic,labour,42,40,2,0.047619047619047616,1980,2019
CAEMC,CAF,Central African Republic,oda,42,32,10,0.23809523809523808,1980,2011
CAEMC,CAF,Central African Republic,polity2,42,39,3,0.07142857142857142,1980,2018
CAEMC,CAF,Central African Republic,pop,42,40,2,0.047619047619047616,1980,2019
CAEMC,CAF,Central African Republic,rgdpo,42,40,2,0.047619047619047616,1980,2019
CAEMC,CMR,Cameroon,agriculture,42,42,0,0,1980,2021
CAEMC,CMR,Cameroon,alt_inflation,42,42,0,0,1980,2021
CAEMC,CMR,Cameroon,cgdpo,42,40,2,0.047619047619047616,1980,2019
CAEMC,CMR,Cameroon,csh_g,42,40,2,0.047619047619047616,1980,2019
CAEMC,CMR,Cameroon,csh_i,42,40,2,0.047619047619047616,1980,2019
