region,iso3c,country,missing_agriculture,missing_alt_inflation,missing_cgdpo,missing_csh_g,missing_csh_i,missing_emp,missing_fdi,missing_gdp_pc,missing_gdp_pc_current,missing_gdp_pc_wdi,missing_gdp_pc_wdi_alt,missing_govt_share,missing_hc,missing_industry,missing_inflation,missing_invest_share,missing_iso2c,missing_labour,missing_oda,missing_polity2,missing_pop,missing_rgdpo
CAEMC,CAF,Central African Republic,29,1,2,2,2,2,0,2,2,10,0,2,2,29,0,2,0,2,10,3,2,2
CAEMC,CMR,Cameroon,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
CAEMC,COG,"Congo, Rep.",0,8,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
CAEMC,GAB,Gabon,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
CAEMC,GNQ,Equatorial Guinea,26,6,2,2,2,2,1,2,2,10,0,2,42,26,1,2,0,2,15,3,2,2
CAEMC,TCD,Chad,0,4,2,2,2,2,0,2,2,10,0,2,42,0,0,2,0,2,10,3,2,2
Donor pool,BGD,Bangladesh,0,7,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,42,3,2,2
Donor pool,BOL,Bolivia,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,42,3,2,2
Donor pool,BRB,Barbados,0,2,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,42,42,2,2
Donor pool,BTN,Bhutan,0,1,2,2,2,2,16,2,2,10,0,2,42,0,0,2,0,2,42,3,2,2
Donor pool,BWA,Botswana,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
Donor pool,CPV,Cabo Verde,0,4,2,2,2,2,0,2,2,10,0,2,42,0,1,2,0,2,42,3,2,2
Donor pool,CPV,Cape Verde,33,33,0,0,0,0,33,0,0,33,33,0,33,33,33,0,33,0,1,0,0,0
Donor pool,DMA,Dominica,0,1,2,2,2,29,0,2,2,10,0,2,42,0,0,2,0,29,42,42,2,2
Donor pool,ECU,Ecuador,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,42,3,2,2
Donor pool,GRD,Grenada,0,0,2,2,2,10,0,2,2,10,0,2,42,0,0,2,0,10,42,42,2,2
Donor pool,KNA,St. Kitts and Nevis,0,0,2,2,2,20,0,2,2,10,0,2,42,0,0,2,0,20,42,42,2,2
Donor pool,LAO,Lao PDR,9,9,2,2,2,2,4,2,2,10,4,2,2,9,5,2,0,2,42,3,2,2
Donor pool,LCA,St. Lucia,26,0,2,2,2,2,0,2,2,10,0,2,42,26,1,2,0,2,42,42,2,2
Donor pool,LSO,Lesotho,0,3,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
Donor pool,MAR,Morocco,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
Donor pool,MUS,Mauritius,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
Donor pool,NAM,Namibia,0,23,2,2,2,2,5,2,2,10,0,2,2,0,1,2,0,2,14,13,2,2
Donor pool,OMN,Oman,0,21,2,2,2,2,0,2,2,10,0,2,42,0,0,2,0,2,42,3,2,2
Donor pool,PAN,Panama,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,42,3,2,2
Donor pool,SWZ,Eswatini,0,2,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,42,3,2,2
Donor pool,SWZ,Swaziland,33,33,0,0,0,0,33,0,0,33,33,0,0,33,33,0,33,0,1,0,0,0
Donor pool,SYC,Seychelles,0,0,2,2,2,14,0,2,2,10,0,2,42,0,0,2,0,14,10,42,2,2
Non-CFA comparison,AGO,Angola,22,11,2,2,2,2,0,2,2,10,0,2,2,22,1,2,0,2,15,3,2,2
Non-CFA comparison,BDI,Burundi,0,0,2,2,2,2,5,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
Non-CFA comparison,COD,"Congo, Dem. Rep.",14,5,2,2,2,2,0,2,2,10,0,2,2,14,0,2,0,2,10,3,2,2
Non-CFA comparison,ETH,Ethiopia,1,0,2,2,2,2,0,2,2,10,0,2,2,1,0,2,0,2,11,3,2,2
Non-CFA comparison,GHA,Ghana,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
Non-CFA comparison,GIN,Guinea,6,25,2,2,2,2,1,2,2,10,0,2,42,6,0,2,0,2,16,3,2,2
Non-CFA comparison,GMB,"Gambia, The",0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
Non-CFA comparison,KEN,Kenya,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
Non-CFA comparison,MDG,Madagascar,15,0,2,2,2,2,0,2,2,10,0,2,2,27,0,2,0,2,10,3,2,2
Non-CFA comparison,MWI,Malawi,0,1,2,2,2,2,0,2,2,10,0,2,2,0,1,2,0,2,10,3,2,2
Non-CFA comparison,NGA,Nigeria,1,0,2,2,2,2,0,2,2,10,0,2,2,1,0,2,0,2,10,3,2,2
Non-CFA comparison,SDN,Sudan,0,0,2,2,2,2,0,2,2,10,0,2,2,2,0,2,0,2,10,3,2,2
Non-CFA comparison,SLE,Sierra Leone,0,27,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
Non-CFA comparison,STP,Sao Tome and Principe,28,17,2,2,2,2,4,2,2,10,0,2,42,28,0,2,0,2,30,42,2,2
Non-CFA comparison,TZA,Tanzania,10,0,2,2,2,2,0,2,2,10,0,2,2,10,0,2,0,2,18,3,2,2
Non-CFA comparison,UGA,Uganda,0,14,2,2,2,2,0,2,2,10,0,2,2,0,3,2,0,2,10,3,2,2
Non-CFA comparison,ZMB,Zambia,0,6,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
Non-CFA comparison,ZWE,Zimbabwe,0,30,2,2,2,2,0,2,2,10,0,2,2,4,0,2,0,2,10,3,2,2
WAEMU,BEN,Benin,0,13,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
WAEMU,BFA,Burkina Faso,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
WAEMU,CIV,Cote d'Ivoire,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
WAEMU,GNB,Guinea-Bissau,0,8,2,2,2,2,2,2,2,10,0,2,42,0,0,2,0,2,10,3,2,2
WAEMU,MLI,Mali,0,9,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
WAEMU,NER,Niger,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
WAEMU,SEN,Senegal,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
WAEMU,TGO,Togo,0,0,2,2,2,2,0,2,2,10,0,2,2,0,0,2,0,2,10,3,2,2
