"outcome","treated_iso3c","placebo_iso3c","success","error_message"
"XEU","BEN","BGD",TRUE,NA
"XEU","BEN","BRB",TRUE,NA
"XEU","BEN","BOL",TRUE,NA
"XEU","BEN","CPV",TRUE,NA
"XEU","BEN","DMA",TRUE,NA
"XEU","BEN","ECU",TRUE,NA
"XEU","BEN","GRD",TRUE,NA
"XEU","BEN","LAO",TRUE,NA
"XEU","BEN","MUS",TRUE,NA
"XEU","BEN","MAR",TRUE,NA
"XEU","BEN","LCA",TRUE,NA
"XEU","BFA","BGD",TRUE,NA
"XEU","BFA","BRB",TRUE,NA
"XEU","BFA","BOL",TRUE,NA
"XEU","BFA","CPV",TRUE,NA
"XEU","BFA","DMA",TRUE,NA
"XEU","BFA","ECU",TRUE,NA
"XEU","BFA","GRD",TRUE,NA
"XEU","BFA","LAO",TRUE,NA
"XEU","BFA","MUS",TRUE,NA
"XEU","BFA","MAR",TRUE,NA
"XEU","BFA","LCA",TRUE,NA
"XEU","CIV","BGD",TRUE,NA
"XEU","CIV","BRB",TRUE,NA
"XEU","CIV","BOL",TRUE,NA
"XEU","CIV","CPV",TRUE,NA
"XEU","CIV","DMA",TRUE,NA
"XEU","CIV","ECU",TRUE,NA
"XEU","CIV","GRD",TRUE,NA
"XEU","CIV","LAO",TRUE,NA
"XEU","CIV","MUS",TRUE,NA
"XEU","CIV","MAR",TRUE,NA
"XEU","CIV","LCA",TRUE,NA
"XEU","MLI","BGD",TRUE,NA
"XEU","MLI","BRB",TRUE,NA
"XEU","MLI","BOL",TRUE,NA
"XEU","MLI","CPV",TRUE,NA
"XEU","MLI","DMA",TRUE,NA
"XEU","MLI","ECU",TRUE,NA
"XEU","MLI","GRD",TRUE,NA
"XEU","MLI","LAO",TRUE,NA
"XEU","MLI","MUS",TRUE,NA
"XEU","MLI","MAR",TRUE,NA
"XEU","MLI","LCA",TRUE,NA
"XEU","NER","BGD",TRUE,NA
"XEU","NER","BRB",TRUE,NA
"XEU","NER","BOL",TRUE,NA
"XEU","NER","CPV",TRUE,NA
"XEU","NER","DMA",TRUE,NA
"XEU","NER","ECU",TRUE,NA
"XEU","NER","GRD",TRUE,NA
"XEU","NER","LAO",TRUE,NA
"XEU","NER","MUS",TRUE,NA
"XEU","NER","MAR",TRUE,NA
"XEU","NER","LCA",TRUE,NA
"XEU","SEN","BGD",TRUE,NA
"XEU","SEN","BRB",TRUE,NA
"XEU","SEN","BOL",TRUE,NA
"XEU","SEN","CPV",TRUE,NA
"XEU","SEN","DMA",TRUE,NA
