"outcome","treated_iso3c","treated_country","placebo_iso3c","placebo_country","pre_rmspe","post_rmspe","rmspe_ratio","avg_post_gap","avg_abs_post_gap","unit_type"
"XEU","BEN","Benin","BGD","Bangladesh",4.37894540590737,9.57577228679701,2.18677590131152,9.11909509009663,9.11909509009663,"Placebo donor"
"XEU","BEN","Benin","BOL","Bolivia",4.01866614856337,4.22864986582863,1.05225209298372,-3.80507059163529,3.80507059163529,"Placebo donor"
"XEU","BEN","Benin","BRB","Barbados",2.95323761416617,2.34140149991901,0.79282530084532,1.1959689663862,2.06744405035102,"Placebo donor"
"XEU","BEN","Benin","CPV","Cabo Verde",23.669096262065,33.1241013153712,1.39946624698383,-9.65917102100933,29.1277847979585,"Placebo donor"
"XEU","BEN","Benin","DMA","Dominica",1.82682032177304,7.06108712410957,3.86523350980481,5.99014504090808,6.12359983008839,"Placebo donor"
"XEU","BEN","Benin","ECU","Ecuador",1.99910245633343,3.8328434382418,1.91728214134239,-3.09274584810346,3.30740699410451,"Placebo donor"
"XEU","BEN","Benin","GRD","Grenada",10.0100641345619,16.3997331607086,1.63832448426429,-15.2835155341277,15.2835155341277,"Placebo donor"
"XEU","BEN","Benin","LAO","Lao PDR",6.92626878472988,8.30187227821995,1.1986067154256,-8.08451145985879,8.08451145985879,"Placebo donor"
"XEU","BEN","Benin","LCA","St. Lucia",2.47909731786329,3.67271174438746,1.48147138796186,-3.04698249038311,3.3209343630157,"Placebo donor"
"XEU","BEN","Benin","MAR","Morocco",12.7582768782638,22.7693778502228,1.78467500489935,18.2375433763292,19.6600802022913,"Placebo donor"
"XEU","BEN","Benin","MUS","Mauritius",3.52499463676335,6.16960313336273,1.75024468662104,-2.43532927186029,5.12492952938791,"Placebo donor"
"XEU","BFA","Burkina Faso","BGD","Bangladesh",4.37894540590737,9.57577228679701,2.18677590131152,9.11909509009663,9.11909509009663,"Placebo donor"
"XEU","BFA","Burkina Faso","BOL","Bolivia",4.01866614856337,4.22864986582863,1.05225209298372,-3.80507059163529,3.80507059163529,"Placebo donor"
"XEU","BFA","Burkina Faso","BRB","Barbados",2.95323761416617,2.34140149991901,0.79282530084532,1.1959689663862,2.06744405035102,"Placebo donor"
"XEU","BFA","Burkina Faso","CPV","Cabo Verde",23.669096262065,33.1241013153712,1.39946624698383,-9.65917102100933,29.1277847979585,"Placebo donor"
"XEU","BFA","Burkina Faso","DMA","Dominica",1.82682032177304,7.06108712410957,3.86523350980481,5.99014504090808,6.12359983008839,"Placebo donor"
"XEU","BFA","Burkina Faso","ECU","Ecuador",1.99910245633343,3.8328434382418,1.91728214134239,-3.09274584810346,3.30740699410451,"Placebo donor"
"XEU","BFA","Burkina Faso","GRD","Grenada",10.0100641345619,16.3997331607086,1.63832448426429,-15.2835155341277,15.2835155341277,"Placebo donor"
"XEU","BFA","Burkina Faso","LAO","Lao PDR",6.92626878472988,8.30187227821995,1.1986067154256,-8.08451145985879,8.08451145985879,"Placebo donor"
"XEU","BFA","Burkina Faso","LCA","St. Lucia",2.47909731786329,3.67271174438746,1.48147138796186,-3.04698249038311,3.3209343630157,"Placebo donor"
"XEU","BFA","Burkina Faso","MAR","Morocco",12.7582768782638,22.7693778502228,1.78467500489935,18.2375433763292,19.6600802022913,"Placebo donor"
"XEU","BFA","Burkina Faso","MUS","Mauritius",3.52499463676335,6.16960313336273,1.75024468662104,-2.43532927186029,5.12492952938791,"Placebo donor"
"XEU","CAF","Central African Republic","BGD","Bangladesh",4.37894540590737,9.57577228679701,2.18677590131152,9.11909509009663,9.11909509009663,"Placebo donor"
"XEU","CAF","Central African Republic","BOL","Bolivia",4.01866614856337,4.22864986582863,1.05225209298372,-3.80507059163529,3.80507059163529,"Placebo donor"
"XEU","CAF","Central African Republic","BRB","Barbados",2.95323761416617,2.34140149991901,0.79282530084532,1.1959689663862,2.06744405035102,"Placebo donor"
"XEU","CAF","Central African Republic","CPV","Cabo Verde",23.669096262065,33.1241013153712,1.39946624698383,-9.65917102100933,29.1277847979585,"Placebo donor"
"XEU","CAF","Central African Republic","DMA","Dominica",1.82682032177304,7.06108712410957,3.86523350980481,5.99014504090808,6.12359983008839,"Placebo donor"
"XEU","CAF","Central African Republic","ECU","Ecuador",1.99910245633343,3.8328434382418,1.91728214134239,-3.09274584810346,3.30740699410451,"Placebo donor"
"XEU","CAF","Central African Republic","GRD","Grenada",10.0100641345619,16.3997331607086,1.63832448426429,-15.2835155341277,15.2835155341277,"Placebo donor"
"XEU","CAF","Central African Republic","LAO","Lao PDR",6.92626878472988,8.30187227821995,1.1986067154256,-8.08451145985879,8.08451145985879,"Placebo donor"
"XEU","CAF","Central African Republic","LCA","St. Lucia",2.47909731786329,3.67271174438746,1.48147138796186,-3.04698249038311,3.3209343630157,"Placebo donor"
"XEU","CAF","Central African Republic","MAR","Morocco",12.7582768782638,22.7693778502228,1.78467500489935,18.2375433763292,19.6600802022913,"Placebo donor"
"XEU","CAF","Central African Republic","MUS","Mauritius",3.52499463676335,6.16960313336273,1.75024468662104,-2.43532927186029,5.12492952938791,"Placebo donor"
"XEU","CIV","Côte d'Ivoire","BGD","Bangladesh",4.37894540590737,9.57577228679701,2.18677590131152,9.11909509009663,9.11909509009663,"Placebo donor"
"XEU","CIV","Côte d'Ivoire","BOL","Bolivia",4.01866614856337,4.22864986582863,1.05225209298372,-3.80507059163529,3.80507059163529,"Placebo donor"
"XEU","CIV","Côte d'Ivoire","BRB","Barbados",2.95323761416617,2.34140149991901,0.79282530084532,1.1959689663862,2.06744405035102,"Placebo donor"
"XEU","CIV","Côte d'Ivoire","CPV","Cabo Verde",23.669096262065,33.1241013153712,1.39946624698383,-9.65917102100933,29.1277847979585,"Placebo donor"
"XEU","CIV","Côte d'Ivoire","DMA","Dominica",1.82682032177304,7.06108712410957,3.86523350980481,5.99014504090808,6.12359983008839,"Placebo donor"
"XEU","CIV","Côte d'Ivoire","ECU","Ecuador",1.99910245633343,3.8328434382418,1.91728214134239,-3.09274584810346,3.30740699410451,"Placebo donor"
"XEU","CIV","Côte d'Ivoire","GRD","Grenada",10.0100641345619,16.3997331607086,1.63832448426429,-15.2835155341277,15.2835155341277,"Placebo donor"
"XEU","CIV","Côte d'Ivoire","LAO","Lao PDR",6.92626878472988,8.30187227821995,1.1986067154256,-8.08451145985879,8.08451145985879,"Placebo donor"
"XEU","CIV","Côte d'Ivoire","LCA","St. Lucia",2.47909731786329,3.67271174438746,1.48147138796186,-3.04698249038311,3.3209343630157,"Placebo donor"
"XEU","CIV","Côte d'Ivoire","MAR","Morocco",12.7582768782638,22.7693778502228,1.78467500489935,18.2375433763292,19.6600802022913,"Placebo donor"
"XEU","CIV","Côte d'Ivoire","MUS","Mauritius",3.52499463676335,6.16960313336273,1.75024468662104,-2.43532927186029,5.12492952938791,"Placebo donor"
"XEU","CMR","Cameroon","BGD","Bangladesh",4.37894540590737,9.57577228679701,2.18677590131152,9.11909509009663,9.11909509009663,"Placebo donor"
