"iso3c","n_years","miss_XEU","miss_MEU","miss_XEU_pre","miss_MEU_pre"
"AGO",39,39,39,21,21
"BDI",39,39,39,21,21
"COD",39,39,39,21,21
"ETH",39,39,39,21,21
"GHA",39,39,39,21,21
"GIN",39,39,39,21,21
"GMB",39,39,39,21,21
"GUY",39,39,39,21,21
"IRQ",39,39,39,21,21
"KEN",39,39,39,21,21
"MDG",39,39,39,21,21
"MWI",39,39,39,21,21
"NGA",39,39,39,21,21
"SDN",39,39,39,21,21
"SLE",39,39,39,21,21
"STP",39,39,39,21,21
"TKM",39,39,39,21,21
"TZA",39,39,39,21,21
"UGA",39,39,39,21,21
"ZMB",39,39,39,21,21
"ZWE",39,39,39,21,21
"LSO",39,22,20,19,20
"BTN",39,19,19,19,19
"BWA",39,19,19,19,19
"NAM",39,19,19,19,19
"SWZ",39,19,19,19,19
"KNA",39,5,5,5,5
"SYC",39,2,0,2,0
"LAO",39,1,0,1,0
"BEN",39,0,0,0,0
"BFA",39,0,0,0,0
"BGD",39,0,0,0,0
"BOL",39,0,0,0,0
"BRB",39,0,0,0,0
"CAF",39,0,0,0,0
"CIV",39,0,0,0,0
"CMR",39,0,0,0,0
"COG",39,0,0,0,0
"CPV",39,0,0,0,0
"DMA",39,0,0,0,0
"ECU",39,0,0,0,0
"GAB",39,0,0,0,0
"GNQ",39,0,0,0,0
"GRD",39,0,0,0,0
"LCA",39,0,0,0,0
"MAR",39,0,0,0,0
"MLI",39,0,0,0,0
"MUS",39,0,0,0,0
"NER",39,0,0,0,0
"SEN",39,0,0,0,0
"TCD",39,0,0,0,0
"TGO",39,0,0,0,0
