"iso3c","country","outcome","n_years","n_missing","n_missing_pre","n_missing_post","first_non_missing_year","last_non_missing_year","group"
"GNQ","Equatorial Guinea","MEU",40,1,1,0,1981,2019,"CAEMC"
"TCD","Chad","MEU",40,1,1,0,1981,2019,"CAEMC"
"CAF","Central African Republic","MEU",40,0,0,0,1980,2019,"CAEMC"
"CMR","Cameroon","MEU",40,0,0,0,1980,2019,"CAEMC"
"COG","Republic of Congo","MEU",40,0,0,0,1980,2019,"CAEMC"
"GAB","Gabon","MEU",40,0,0,0,1980,2019,"CAEMC"
"BTN","Bhutan","MEU",40,40,22,18,NA,NA,"Donor pool"
"BWA","Botswana","MEU",40,40,22,18,NA,NA,"Donor pool"
"GUY","Guyana","MEU",40,40,22,18,NA,NA,"Donor pool"
"IRQ","Iraq","MEU",40,40,22,18,NA,NA,"Donor pool"
"KNA","St. Kitts and Nevis","MEU",40,40,22,18,NA,NA,"Donor pool"
"LSO","Lesotho","MEU",40,40,22,18,NA,NA,"Donor pool"
"NAM","Namibia","MEU",40,40,22,18,NA,NA,"Donor pool"
"SWZ","Eswatini","MEU",40,40,22,18,NA,NA,"Donor pool"
"TKM","Turkmenistan","MEU",40,40,22,18,NA,NA,"Donor pool"
"LAO","Lao PDR","MEU",40,1,1,0,1981,2019,"Donor pool"
"LCA","St. Lucia","MEU",40,1,1,0,1981,2019,"Donor pool"
"BGD","Bangladesh","MEU",40,0,0,0,1980,2019,"Donor pool"
"BOL","Bolivia","MEU",40,0,0,0,1980,2019,"Donor pool"
"BRB","Barbados","MEU",40,0,0,0,1980,2019,"Donor pool"
"CPV","Cabo Verde","MEU",40,0,0,0,1980,2019,"Donor pool"
"DMA","Dominica","MEU",40,0,0,0,1980,2019,"Donor pool"
"ECU","Ecuador","MEU",40,0,0,0,1980,2019,"Donor pool"
"GRD","Grenada","MEU",40,0,0,0,1980,2019,"Donor pool"
"MAR","Morocco","MEU",40,0,0,0,1980,2019,"Donor pool"
"MUS","Mauritius","MEU",40,0,0,0,1980,2019,"Donor pool"
"SYC","Seychelles","MEU",40,0,0,0,1980,2019,"Donor pool"
"ETH","Ethiopia","MEU",41,41,23,18,NA,NA,"Non-donor comparison"
"AGO","Angola","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"BDI","Burundi","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"COD","Congo, Dem. Rep.","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"GHA","Ghana","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"GIN","Guinea","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"GMB","Gambia, The","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"KEN","Kenya","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"MDG","Madagascar","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"MWI","Malawi","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"NGA","Nigeria","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"SDN","Sudan","MEU",41,41,22,19,NA,NA,"Non-donor comparison"
"SLE","Sierra Leone","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"STP","Sao Tome and Principe","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"TZA","Tanzania","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"UGA","Uganda","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"ZMB","Zambia","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"ZWE","Zimbabwe","MEU",40,40,22,18,NA,NA,"Non-donor comparison"
"BEN","Benin","MEU",40,0,0,0,1980,2019,"WAEMU"
"BFA","Burkina Faso","MEU",40,0,0,0,1980,2019,"WAEMU"
"CIV","Côte d'Ivoire","MEU",40,0,0,0,1980,2019,"WAEMU"
"MLI","Mali","MEU",40,0,0,0,1980,2019,"WAEMU"
"NER","Niger","MEU",40,0,0,0,1980,2019,"WAEMU"
"SEN","Senegal","MEU",40,0,0,0,1980,2019,"WAEMU"
"TGO","Togo","MEU",40,0,0,0,1980,2019,"WAEMU"
"GNQ","Equatorial Guinea","XEU",40,1,1,0,1981,2019,"CAEMC"
"TCD","Chad","XEU",40,1,1,0,1981,2019,"CAEMC"
"CAF","Central African Republic","XEU",40,0,0,0,1980,2019,"CAEMC"
"CMR","Cameroon","XEU",40,0,0,0,1980,2019,"CAEMC"
"COG","Republic of Congo","XEU",40,0,0,0,1980,2019,"CAEMC"
"GAB","Gabon","XEU",40,0,0,0,1980,2019,"CAEMC"
"BTN","Bhutan","XEU",40,40,22,18,NA,NA,"Donor pool"
"BWA","Botswana","XEU",40,40,22,18,NA,NA,"Donor pool"
"GUY","Guyana","XEU",40,40,22,18,NA,NA,"Donor pool"
"IRQ","Iraq","XEU",40,40,22,18,NA,NA,"Donor pool"
"KNA","St. Kitts and Nevis","XEU",40,40,22,18,NA,NA,"Donor pool"
"LSO","Lesotho","XEU",40,40,22,18,NA,NA,"Donor pool"
"NAM","Namibia","XEU",40,40,22,18,NA,NA,"Donor pool"
"SWZ","Eswatini","XEU",40,40,22,18,NA,NA,"Donor pool"
"TKM","Turkmenistan","XEU",40,40,22,18,NA,NA,"Donor pool"
"LAO","Lao PDR","XEU",40,1,1,0,1981,2019,"Donor pool"
"LCA","St. Lucia","XEU",40,1,1,0,1981,2019,"Donor pool"
"BGD","Bangladesh","XEU",40,0,0,0,1980,2019,"Donor pool"
"BOL","Bolivia","XEU",40,0,0,0,1980,2019,"Donor pool"
"BRB","Barbados","XEU",40,0,0,0,1980,2019,"Donor pool"
"CPV","Cabo Verde","XEU",40,0,0,0,1980,2019,"Donor pool"
"DMA","Dominica","XEU",40,0,0,0,1980,2019,"Donor pool"
"ECU","Ecuador","XEU",40,0,0,0,1980,2019,"Donor pool"
"GRD","Grenada","XEU",40,0,0,0,1980,2019,"Donor pool"
"MAR","Morocco","XEU",40,0,0,0,1980,2019,"Donor pool"
"MUS","Mauritius","XEU",40,0,0,0,1980,2019,"Donor pool"
"SYC","Seychelles","XEU",40,0,0,0,1980,2019,"Donor pool"
"ETH","Ethiopia","XEU",41,41,23,18,NA,NA,"Non-donor comparison"
"AGO","Angola","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"BDI","Burundi","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"COD","Congo, Dem. Rep.","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"GHA","Ghana","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"GIN","Guinea","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"GMB","Gambia, The","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"KEN","Kenya","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"MDG","Madagascar","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"MWI","Malawi","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"NGA","Nigeria","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"SDN","Sudan","XEU",41,41,22,19,NA,NA,"Non-donor comparison"
"SLE","Sierra Leone","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"STP","Sao Tome and Principe","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"TZA","Tanzania","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"UGA","Uganda","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"ZMB","Zambia","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"ZWE","Zimbabwe","XEU",40,40,22,18,NA,NA,"Non-donor comparison"
"BEN","Benin","XEU",40,0,0,0,1980,2019,"WAEMU"
"BFA","Burkina Faso","XEU",40,0,0,0,1980,2019,"WAEMU"
"CIV","Côte d'Ivoire","XEU",40,0,0,0,1980,2019,"WAEMU"
"MLI","Mali","XEU",40,0,0,0,1980,2019,"WAEMU"
"NER","Niger","XEU",40,0,0,0,1980,2019,"WAEMU"
"SEN","Senegal","XEU",40,0,0,0,1980,2019,"WAEMU"
"TGO","Togo","XEU",40,0,0,0,1980,2019,"WAEMU"
"CAF","Central African Republic","exports_gdp",40,0,0,0,1980,2019,"CAEMC"
"CMR","Cameroon","exports_gdp",40,0,0,0,1980,2019,"CAEMC"
"COG","Republic of Congo","exports_gdp",40,0,0,0,1980,2019,"CAEMC"
"GAB","Gabon","exports_gdp",40,0,0,0,1980,2019,"CAEMC"
