"outcome","treated_iso3c","treated_country","predictor","Treated","Synthetic","Sample Mean"
"XEU","BEN","Benin","agriculture",32.7,11.014,16.216
"XEU","BEN","Benin","govt_share",0.173,0.276,0.218
"XEU","BEN","Benin","invest_share",0.132,0.205,0.186
"XEU","BEN","Benin","oda_share",58008396.331,19498826.772,58333238.385
"XEU","BEN","Benin","fdi",-0.108,4.354,2.815
"XEU","BEN","Benin","labour",35.415,32.666,35.676
"XEU","BEN","Benin","polity2",0.095,0.053,1.403
"XEU","BEN","Benin","special.outcome_selected.1981.2001",34.258,32.632,23.535
"XEU","BEN","Benin","special.outcome_selected.1981",44.41,36.127,21.981
"XEU","BEN","Benin","special.outcome_selected.1990",22.636,35.817,26.29
"XEU","BEN","Benin","special.outcome_selected.1995",30.009,29.25,24.262
"XEU","BEN","Benin","special.outcome_selected.2001",5.656,24.484,23.594
"XEU","BFA","Burkina Faso","agriculture",29.972,9.146,16.216
"XEU","BFA","Burkina Faso","govt_share",0.116,0.165,0.218
"XEU","BFA","Burkina Faso","invest_share",0.152,0.146,0.186
"XEU","BFA","Burkina Faso","oda_share",125622814.421,32913787.263,58333238.385
"XEU","BFA","Burkina Faso","fdi",0.236,1.225,2.815
"XEU","BFA","Burkina Faso","labour",44.33,35.311,35.676
"XEU","BFA","Burkina Faso","polity2",-5.524,-3.927,1.403
"XEU","BFA","Burkina Faso","special.outcome_selected.1981.2001",31.543,31.782,23.535
"XEU","BFA","Burkina Faso","special.outcome_selected.1981",25.128,30.805,21.981
"XEU","BFA","Burkina Faso","special.outcome_selected.1990",38.753,31.331,26.29
"XEU","BFA","Burkina Faso","special.outcome_selected.1995",28.018,30.908,24.262
"XEU","BFA","Burkina Faso","special.outcome_selected.2001",31.082,35.924,23.594
"XEU","CIV","Côte d'Ivoire","agriculture",24.739,12.913,16.216
"XEU","CIV","Côte d'Ivoire","govt_share",0.19,0.189,0.218
"XEU","CIV","Côte d'Ivoire","invest_share",0.069,0.169,0.186
"XEU","CIV","Côte d'Ivoire","oda_share",62006783.003,47957478.662,58333238.385
"XEU","CIV","Côte d'Ivoire","fdi",1.084,1.07,2.815
"XEU","CIV","Côte d'Ivoire","labour",32.908,32.104,35.676
"XEU","CIV","Côte d'Ivoire","polity2",-6.238,-2.738,1.403
