"outcome","treated_iso3c","treated_country","donor_iso3c","donor_weight"
"trade_openness","BEN","Benin","BGD",0.411
"trade_openness","BEN","Benin","BOL",0
"trade_openness","BEN","Benin","BRB",0
"trade_openness","BEN","Benin","BTN",0.585
"trade_openness","BEN","Benin","BWA",0
"trade_openness","BEN","Benin","CPV",0
"trade_openness","BEN","Benin","DMA",0
"trade_openness","BEN","Benin","ECU",0
"trade_openness","BEN","Benin","GRD",0
"trade_openness","BEN","Benin","GUY",0
"trade_openness","BEN","Benin","IRQ",0
"trade_openness","BEN","Benin","KNA",0
"trade_openness","BEN","Benin","LAO",0
"trade_openness","BEN","Benin","LCA",0
"trade_openness","BEN","Benin","LSO",0
"trade_openness","BEN","Benin","MAR",0
"trade_openness","BEN","Benin","MUS",0.003
"trade_openness","BEN","Benin","NAM",0
"trade_openness","BEN","Benin","SWZ",0
"trade_openness","BEN","Benin","SYC",0
"trade_openness","BEN","Benin","TKM",0
"trade_openness","BFA","Burkina Faso","BGD",0.252
"trade_openness","BFA","Burkina Faso","BOL",0
"trade_openness","BFA","Burkina Faso","BRB",0.494
"trade_openness","BFA","Burkina Faso","BTN",0
"trade_openness","BFA","Burkina Faso","BWA",0
"trade_openness","BFA","Burkina Faso","CPV",0.044
"trade_openness","BFA","Burkina Faso","DMA",0
"trade_openness","BFA","Burkina Faso","ECU",0
"trade_openness","BFA","Burkina Faso","GRD",0
"trade_openness","BFA","Burkina Faso","GUY",0
"trade_openness","BFA","Burkina Faso","IRQ",0.01
"trade_openness","BFA","Burkina Faso","KNA",0
"trade_openness","BFA","Burkina Faso","LAO",0
"trade_openness","BFA","Burkina Faso","LCA",0
"trade_openness","BFA","Burkina Faso","LSO",0.152
"trade_openness","BFA","Burkina Faso","MAR",0
"trade_openness","BFA","Burkina Faso","MUS",0.049
"trade_openness","BFA","Burkina Faso","NAM",0
"trade_openness","BFA","Burkina Faso","SWZ",0
"trade_openness","BFA","Burkina Faso","SYC",0
"trade_openness","BFA","Burkina Faso","TKM",0
"trade_openness","CIV","Côte d'Ivoire","BGD",0.008
"trade_openness","CIV","Côte d'Ivoire","BOL",0
"trade_openness","CIV","Côte d'Ivoire","BRB",0.023
"trade_openness","CIV","Côte d'Ivoire","BTN",0
"trade_openness","CIV","Côte d'Ivoire","BWA",0
"trade_openness","CIV","Côte d'Ivoire","CPV",0
"trade_openness","CIV","Côte d'Ivoire","DMA",0
"trade_openness","CIV","Côte d'Ivoire","ECU",0
"trade_openness","CIV","Côte d'Ivoire","GRD",0
"trade_openness","CIV","Côte d'Ivoire","GUY",0
"trade_openness","CIV","Côte d'Ivoire","IRQ",0
"trade_openness","CIV","Côte d'Ivoire","KNA",0
"trade_openness","CIV","Côte d'Ivoire","LAO",0
"trade_openness","CIV","Côte d'Ivoire","LCA",0
"trade_openness","CIV","Côte d'Ivoire","LSO",0.161
"trade_openness","CIV","Côte d'Ivoire","MAR",0.808
"trade_openness","CIV","Côte d'Ivoire","MUS",0
"trade_openness","CIV","Côte d'Ivoire","NAM",0
"trade_openness","CIV","Côte d'Ivoire","SWZ",0
"trade_openness","CIV","Côte d'Ivoire","SYC",0
"trade_openness","CIV","Côte d'Ivoire","TKM",0
"trade_openness","MLI","Mali","BGD",0.27
"trade_openness","MLI","Mali","BOL",0
"trade_openness","MLI","Mali","BRB",0
"trade_openness","MLI","Mali","BTN",0.104
"trade_openness","MLI","Mali","BWA",0
"trade_openness","MLI","Mali","CPV",0
"trade_openness","MLI","Mali","DMA",0.272
"trade_openness","MLI","Mali","ECU",0.094
"trade_openness","MLI","Mali","GRD",0
"trade_openness","MLI","Mali","GUY",0
"trade_openness","MLI","Mali","IRQ",0
"trade_openness","MLI","Mali","KNA",0
"trade_openness","MLI","Mali","LAO",0
"trade_openness","MLI","Mali","LCA",0
"trade_openness","MLI","Mali","LSO",0
"trade_openness","MLI","Mali","MAR",0
"trade_openness","MLI","Mali","MUS",0
"trade_openness","MLI","Mali","NAM",0
"trade_openness","MLI","Mali","SWZ",0.258
"trade_openness","MLI","Mali","SYC",0
"trade_openness","MLI","Mali","TKM",0
"trade_openness","NER","Niger","BGD",0.191
"trade_openness","NER","Niger","BOL",0
"trade_openness","NER","Niger","BRB",0.002
"trade_openness","NER","Niger","BTN",0
"trade_openness","NER","Niger","BWA",0
"trade_openness","NER","Niger","CPV",0
"trade_openness","NER","Niger","DMA",0.23
"trade_openness","NER","Niger","ECU",0.023
"trade_openness","NER","Niger","GRD",0
"trade_openness","NER","Niger","GUY",0
"trade_openness","NER","Niger","IRQ",0
"trade_openness","NER","Niger","KNA",0
"trade_openness","NER","Niger","LAO",0
"trade_openness","NER","Niger","LCA",0
"trade_openness","NER","Niger","LSO",0
"trade_openness","NER","Niger","MAR",0.448
"trade_openness","NER","Niger","MUS",0.105
