group,iso3c,country,n_rows,n_missing,has_1990,has_2001,has_2002,has_2021,complete_1990_2001,complete_2002_2021
CAEMC,CAF,Central African Republic,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
CAEMC,CMR,Cameroon,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
CAEMC,COG,"Congo, Rep.",32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
CAEMC,GAB,Gabon,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
CAEMC,GNQ,Equatorial Guinea,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
CAEMC,TCD,Chad,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,AGO,Angola,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,BDI,Burundi,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,COD,"Congo, Dem. Rep.",32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,ETH,Ethiopia,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,GHA,Ghana,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,GIN,Guinea,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,GMB,"Gambia, The",32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,KEN,Kenya,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,MDG,Madagascar,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,MWI,Malawi,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,NGA,Nigeria,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,SDN,Sudan,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,SLE,Sierra Leone,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,STP,Sao Tome and Principe,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,TZA,Tanzania,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,UGA,Uganda,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,ZMB,Zambia,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Non-CFA comparison,ZWE,Zimbabwe,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
WAEMU,BEN,Benin,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
WAEMU,BFA,Burkina Faso,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
WAEMU,CIV,Cote d'Ivoire,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
WAEMU,GNB,Guinea-Bissau,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
WAEMU,MLI,Mali,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
WAEMU,NER,Niger,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
WAEMU,SEN,Senegal,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
WAEMU,TGO,Togo,32,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
