country,method,1980-2021,1990-2001,2002-2021,n 1980-2021,n 1990-2001,n 2002-2021
Benin,growth_factor,1.0149,1.0214,1.0376,39,12,18
Benin,index_change_from_1990,43.8532,5.3929,79.1517,40,12,18
Benin,log_growth,1.2244,2.0054,3.6223,39,12,18
Benin,pct_growth,1.4889,2.142,3.759,39,12,18
Benin,growth_factor,1.0154,1.0238,1.0366,39,12,18
Benin,index_change_from_1990,48.2725,6.4867,83.8784,40,12,18
Benin,log_growth,1.1674,2.2417,3.5315,39,12,18
Benin,pct_growth,1.5423,2.3778,3.6636,39,12,18
Benin,growth_factor,1.0142,1.0215,1.0369,39,12,18
Benin,index_change_from_1990,44.3284,6.0907,78.3218,40,12,18
Benin,log_growth,1.1555,2.0165,3.5513,39,12,18
Benin,pct_growth,1.4248,2.1515,3.6907,39,12,18
Benin,growth_factor,1.0234,1.0207,1.0346,39,12,18
Benin,index_change_from_1990,26.9422,8.2695,55.4429,40,12,18
Benin,log_growth,2.2432,2.0303,3.3362,39,12,18
Benin,pct_growth,2.3379,2.0736,3.4587,39,12,18
Benin,growth_factor,1.0136,1.0235,1.0352,39,12,18
Benin,index_change_from_1990,48.319,6.6976,81.2933,40,12,18
Benin,log_growth,0.9802,2.2079,3.3902,39,12,18
Benin,pct_growth,1.3648,2.3455,3.5206,39,12,18
Benin,growth_factor,1.012,1.0183,1.0148,41,12,20
Benin,index_change_from_1990,16.7945,6.4319,30.9259,42,12,20
Benin,log_growth,1.1521,1.797,1.4522,41,12,20
Benin,pct_growth,1.1984,1.8291,1.4789,41,12,20
Benin,growth_factor,1.0425,1.0665,1.054,41,12,20
Benin,index_change_from_1990,76.2245,3.6541,168.3044,42,12,20
Benin,log_growth,3.1801,4.3169,4.9254,41,12,20
Benin,pct_growth,4.2485,6.6491,5.3989,41,12,20
Benin,growth_factor,1.0148,1.0148,1.0148,31,11,20
Benin,index_change_from_1990,21.7406,6.4319,30.9259,32,12,20
Benin,log_growth,1.4543,1.4582,1.4522,31,11,20
Benin,pct_growth,1.479,1.4792,1.4789,31,11,20
Benin,growth_factor,1.0353,1.0359,1.035,31,11,20
Benin,index_change_from_1990,75.4385,20.9266,108.1456,32,12,20
Benin,log_growth,3.4575,3.5148,3.4259,31,11,20
Benin,pct_growth,3.5346,3.5885,3.505,31,11,20
Benin,growth_factor,1.0117,1.0174,1.0147,39,12,18
Benin,index_change_from_1990,15.0349,5.8072,29.0447,40,12,18
Benin,log_growth,1.1259,1.7145,1.4489,39,12,18
Benin,pct_growth,1.1717,1.7435,1.4744,39,12,18
Benin,growth_factor,1.0411,1.0655,1.0525,39,12,18
Benin,index_change_from_1990,68.5427,3.0203,161.9228,40,12,18
Benin,log_growth,3.0031,4.2344,4.7561,39,12,18
Benin,pct_growth,4.1083,6.555,5.2511,39,12,18
Benin,growth_factor,1.0145,1.014,1.0147,29,11,18
Benin,index_change_from_1990,19.7497,5.8072,29.0447,30,12,18
Benin,log_growth,1.424,1.3831,1.4489,29,11,18
Benin,pct_growth,1.4467,1.4013,1.4744,29,11,18
Benin,growth_factor,1.035,1.0351,1.0349,29,11,18
Benin,index_change_from_1990,68.6953,20.1897,101.0324,30,12,18
Benin,log_growth,3.4235,3.4397,3.4137,29,11,18
Benin,pct_growth,3.4979,3.5088,3.4912,29,11,18
Benin,direct,1.2623,1.8291,1.4789,42,12,20
