country,method,1980-2021,1990-2001,2002-2021,n 1980-2021,n 1990-2001,n 2002-2021
Cameroon,growth_factor,1.0107,0.996,1.0167,39,12,18
Cameroon,index_change_from_1990,11.0875,-2.3555,17.5176,40,12,18
Cameroon,log_growth,0.9822,-0.4636,1.6474,39,12,18
Cameroon,pct_growth,1.067,-0.4014,1.6687,39,12,18
Cameroon,growth_factor,1.0127,0.9962,1.0181,39,12,18
Cameroon,index_change_from_1990,10.0362,-4.6244,17.8727,40,12,18
Cameroon,log_growth,1.1662,-0.4784,1.7822,39,12,18
Cameroon,pct_growth,1.2736,-0.3777,1.8088,39,12,18
Cameroon,growth_factor,1.0103,0.996,1.0164,39,12,18
Cameroon,index_change_from_1990,11.5159,-1.9857,17.261,40,12,18
Cameroon,log_growth,0.9377,-0.4645,1.6145,39,12,18
Cameroon,pct_growth,1.0261,-0.3967,1.6367,39,12,18
Cameroon,growth_factor,0.9993,0.9855,1.0149,39,12,18
Cameroon,index_change_from_1990,6.8061,-11.9187,4.7897,40,12,18
Cameroon,log_growth,-0.1518,-1.5396,1.4764,39,12,18
Cameroon,pct_growth,-0.0746,-1.447,1.4939,39,12,18
Cameroon,growth_factor,1.0118,0.9961,1.0178,39,12,18
Cameroon,index_change_from_1990,10.6938,-4.4973,17.9228,40,12,18
Cameroon,log_growth,1.0733,-0.4883,1.7501,39,12,18
Cameroon,pct_growth,1.1792,-0.3935,1.7777,39,12,18
Cameroon,growth_factor,1.0034,0.981,1.0107,41,12,20
Cameroon,index_change_from_1990,-0.768,-15.6276,-1.3273,42,12,20
Cameroon,log_growth,0.2449,-2.028,1.0509,41,12,20
Cameroon,pct_growth,0.3407,-1.9032,1.0659,41,12,20
Cameroon,growth_factor,1.0279,0.9911,1.0467,41,12,20
Cameroon,index_change_from_1990,4.4624,-18.8772,28.1761,42,12,20
Cameroon,log_growth,1.8474,-2.7976,4.2452,41,12,20
Cameroon,pct_growth,2.7919,-0.8929,4.6665,41,12,20
Cameroon,growth_factor,1.0024,0.9873,1.0107,31,11,20
Cameroon,index_change_from_1990,-6.6899,-15.6276,-1.3273,32,12,20
Cameroon,log_growth,0.1913,-1.3718,1.0509,31,11,20
Cameroon,pct_growth,0.2359,-1.2733,1.0659,31,11,20
Cameroon,growth_factor,1.0286,1.0076,1.0402,31,11,20
Cameroon,index_change_from_1990,35.6411,-4.7046,59.8485,32,12,20
Cameroon,log_growth,2.7687,0.6849,3.9148,31,11,20
Cameroon,pct_growth,2.8619,0.7648,4.0153,31,11,20
Cameroon,growth_factor,1.004,0.9808,1.0143,39,12,18
Cameroon,index_change_from_1990,-0.3794,-15.7287,-1.2491,40,12,18
Cameroon,log_growth,0.3002,-2.0442,1.4099,39,12,18
Cameroon,pct_growth,0.4015,-1.9174,1.427,39,12,18
Cameroon,growth_factor,1.0274,0.9909,1.0491,39,12,18
Cameroon,index_change_from_1990,2.9902,-18.9766,27.0809,40,12,18
Cameroon,log_growth,1.7517,-2.8137,4.4538,39,12,18
Cameroon,pct_growth,2.7362,-0.9101,4.9084,39,12,18
Cameroon,growth_factor,1.004,0.9872,1.0143,29,11,18
Cameroon,index_change_from_1990,-7.0409,-15.7287,-1.2491,30,12,18
Cameroon,log_growth,0.3518,-1.3797,1.4099,29,11,18
Cameroon,pct_growth,0.4003,-1.2799,1.427,29,11,18
Cameroon,growth_factor,1.0271,1.0076,1.039,29,11,18
Cameroon,index_change_from_1990,30.5085,-4.8195,54.0605,30,12,18
Cameroon,log_growth,2.6215,0.677,3.8098,29,11,18
Cameroon,pct_growth,2.7078,0.7579,3.8995,29,11,18
Cameroon,direct,0.2111,-1.9032,1.0659,42,12,20
