group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0125,1.0093,1.0241
WAEMU,Benin,1.0149,1.0214,1.0376
WAEMU,Burkina Faso,1.0178,1.0166,1.0273
WAEMU,Cote d'Ivoire,1.0189,0.9871,1.0446
WAEMU,Guinea-Bissau,1.0059,1.0132,1.0052
WAEMU,Mali,1.0381,1.059,1.0319
WAEMU,Niger,0.9897,0.9903,1.0075
WAEMU,Senegal,1.0107,0.9965,1.0103
WAEMU,Togo,1.0038,0.9907,1.0279
CAEMC,Average CAEMC,1.0299,1.0403,1.0304
CAEMC,Cameroon,1.0107,0.996,1.0167
CAEMC,Central African Republic,1.0003,0.9875,1.0023
CAEMC,Chad,1.0214,0.989,1.036
CAEMC,"Congo, Rep.",1.0335,1.0244,1.0509
CAEMC,Equatorial Guinea,1.102,1.2335,1.045
CAEMC,Gabon,1.0115,1.0111,1.0314
Non-CFA comparison,Angola,1.0244,0.9853,1.0717
Non-CFA comparison,Average Non-CFA comparison,1.0116,0.9909,1.0361
Non-CFA comparison,Burundi,0.9983,0.9758,1.0095
Non-CFA comparison,"Congo, Dem. Rep.",0.987,0.906,1.0385
Non-CFA comparison,Ethiopia,1.0385,0.9898,1.0865
Non-CFA comparison,"Gambia, The",0.9957,0.9988,0.9891
Non-CFA comparison,Ghana,1.0127,1.001,1.0364
Non-CFA comparison,Guinea,0.9939,0.9778,1.0013
Non-CFA comparison,Kenya,1.0178,0.9936,1.0416
Non-CFA comparison,Madagascar,1.0023,0.9943,1.0091
Non-CFA comparison,Malawi,1.0008,0.9819,1.0174
Non-CFA comparison,Nigeria,1.0198,1.008,1.1125
Non-CFA comparison,Sao Tome and Principe,1.0147,1.0119,1.0387
Non-CFA comparison,Sierra Leone,1.0147,0.9839,1.0343
Non-CFA comparison,Sudan,1.0196,1.0092,1.0388
Non-CFA comparison,Tanzania,1.0111,1.0107,1.0367
Non-CFA comparison,Uganda,1.0254,1.0329,1.0267
Non-CFA comparison,Zambia,1.0214,0.9962,1.0535
Non-CFA comparison,Zimbabwe,1.0102,0.9786,1.007
