group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,19.9842,3.1646,39.0554
WAEMU,Benin,43.8532,5.3929,79.1517
WAEMU,Burkina Faso,26.1646,6.7783,52.9559
WAEMU,Cote d'Ivoire,16.4823,0.4664,32.668
WAEMU,Guinea-Bissau,0.9924,3.3516,4.1472
WAEMU,Mali,85.8504,41.0849,158.1165
WAEMU,Niger,-0.4891,-9.6168,-6.9715
WAEMU,Senegal,-1.9144,-7.141,4.1058
WAEMU,Togo,-11.0655,-14.9993,-11.7307
CAEMC,Average CAEMC,108.3562,16.1078,226.1965
CAEMC,Cameroon,11.0875,-2.3555,17.5176
CAEMC,Central African Republic,-10.5521,-10.0899,-17.6794
CAEMC,Chad,10.1574,-5.6452,33.4026
CAEMC,"Congo, Rep.",32.3942,-18.5867,76.3212
CAEMC,Equatorial Guinea,574.7524,134.7001,1183.8275
CAEMC,Gabon,32.2976,-1.3763,63.7895
Non-CFA comparison,Angola,40.6359,-9.2907,91.5151
Non-CFA comparison,Average Non-CFA comparison,23.6493,-8.6964,48.263
Non-CFA comparison,Burundi,-12.5391,-14.6904,-18.0648
Non-CFA comparison,"Congo, Dem. Rep.",-23.582,-40.9791,-48.0948
Non-CFA comparison,Ethiopia,19.1994,-20.6691,55.1196
Non-CFA comparison,"Gambia, The",-5.8675,-4.045,-13.1393
Non-CFA comparison,Ghana,20.548,-2.6029,47.6179
Non-CFA comparison,Guinea,-19.0815,-2.8723,-38.4639
Non-CFA comparison,Kenya,10.2422,-0.769,24.6761
Non-CFA comparison,Madagascar,3.4285,-10.4119,10.0438
Non-CFA comparison,Malawi,8.6346,0.4669,6.6859
Non-CFA comparison,Nigeria,223.5147,-29.3379,394.5794
Non-CFA comparison,Sao Tome and Principe,33.7863,-6.6412,73.3462
Non-CFA comparison,Sierra Leone,-10.4564,-9.9135,-7.9094
Non-CFA comparison,Sudan,32.4633,-0.8212,72.206
Non-CFA comparison,Tanzania,42.8493,-5.7185,82.5431
Non-CFA comparison,Uganda,47.9757,21.086,93.597
Non-CFA comparison,Zambia,45.0634,-15.9865,96.9236
Non-CFA comparison,Zimbabwe,-31.1281,-3.3395,-54.448
