group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,1.2461,0.9329,2.4051
WAEMU,Benin,1.4889,2.142,3.759
WAEMU,Burkina Faso,1.7824,1.6593,2.728
WAEMU,Cote d'Ivoire,1.886,-1.2895,4.4646
WAEMU,Guinea-Bissau,0.5891,1.3156,0.5174
WAEMU,Mali,3.8091,5.8958,3.1949
WAEMU,Niger,-1.0298,-0.9731,0.7545
WAEMU,Senegal,1.0654,-0.354,1.0286
WAEMU,Togo,0.378,-0.9331,2.7941
CAEMC,Average CAEMC,2.9885,4.0278,3.041
CAEMC,Cameroon,1.067,-0.4014,1.6687
CAEMC,Central African Republic,0.0267,-1.2459,0.2337
CAEMC,Chad,2.1388,-1.0963,3.6018
CAEMC,"Congo, Rep.",3.3546,2.4427,5.0946
CAEMC,Equatorial Guinea,10.1971,23.3548,4.503
CAEMC,Gabon,1.147,1.1128,3.1442
Non-CFA comparison,Angola,2.4407,-1.4653,7.1684
Non-CFA comparison,Average Non-CFA comparison,1.1566,-0.912,3.6073
Non-CFA comparison,Burundi,-0.1716,-2.4228,0.9496
Non-CFA comparison,"Congo, Dem. Rep.",-1.3019,-9.4005,3.8536
Non-CFA comparison,Ethiopia,3.8543,-1.0163,8.6502
Non-CFA comparison,"Gambia, The",-0.4285,-0.118,-1.0946
Non-CFA comparison,Ghana,1.2679,0.1042,3.637
Non-CFA comparison,Guinea,-0.6131,-2.2204,0.1275
Non-CFA comparison,Kenya,1.7846,-0.6448,4.1644
Non-CFA comparison,Madagascar,0.2327,-0.57,0.9059
Non-CFA comparison,Malawi,0.0774,-1.8124,1.742
Non-CFA comparison,Nigeria,1.9755,0.8026,11.2486
Non-CFA comparison,Sao Tome and Principe,1.4686,1.193,3.8749
Non-CFA comparison,Sierra Leone,1.4673,-1.6058,3.4287
Non-CFA comparison,Sudan,1.958,0.9246,3.8799
Non-CFA comparison,Tanzania,1.1126,1.0678,3.67
Non-CFA comparison,Uganda,2.5371,3.2907,2.6707
Non-CFA comparison,Zambia,2.1402,-0.3835,5.3516
Non-CFA comparison,Zimbabwe,1.0164,-2.1389,0.7028
