group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0804,0.7616,2.2581
WAEMU,Benin,1.1674,2.2417,3.5315
WAEMU,Burkina Faso,1.5537,1.9199,2.2395
WAEMU,Cote d'Ivoire,1.5994,-1.6068,4.4222
WAEMU,Guinea-Bissau,1.1549,0.5352,0.7114
WAEMU,Mali,3.3211,5.4376,2.9819
WAEMU,Niger,-1.1471,-0.7264,0.7181
WAEMU,Senegal,1.0197,-0.2089,0.8103
WAEMU,Togo,-0.026,-1.4991,2.6502
CAEMC,Average CAEMC,1.5797,2.0442,2.102
CAEMC,Cameroon,1.1662,-0.4784,1.7822
CAEMC,Central African Republic,-0.2746,-1.5593,-0.1089
CAEMC,Chad,1.4716,-0.8877,2.0108
CAEMC,"Congo, Rep.",1.3622,0.5361,3.2055
CAEMC,Equatorial Guinea,5.5471,14.6762,3.2707
CAEMC,Gabon,0.2058,-0.022,2.4519
Non-CFA comparison,Angola,1.6146,-2.28,6.0638
Non-CFA comparison,Average Non-CFA comparison,0.7355,-1.0552,2.9967
Non-CFA comparison,Burundi,-0.247,-2.2956,0.7036
Non-CFA comparison,"Congo, Dem. Rep.",-1.949,-10.917,3.7331
Non-CFA comparison,Ethiopia,3.5463,-0.7644,7.8606
Non-CFA comparison,"Gambia, The",-0.3137,0.0947,-0.9057
Non-CFA comparison,Ghana,0.9757,0.4745,2.9075
Non-CFA comparison,Guinea,-0.8491,-2.3514,-0.3911
Non-CFA comparison,Kenya,1.7803,-0.3148,3.7649
Non-CFA comparison,Madagascar,0.1204,-0.621,1.0193
Non-CFA comparison,Malawi,-0.1458,-2.3708,1.7212
Non-CFA comparison,Nigeria,-0.0898,0.0979,8.8654
Non-CFA comparison,Sao Tome and Principe,1.2638,1.6071,2.9151
Non-CFA comparison,Sierra Leone,1.311,-2.0725,2.9975
Non-CFA comparison,Sudan,1.6204,1.0182,3.5345
Non-CFA comparison,Tanzania,0.7309,0.9827,3.4604
Non-CFA comparison,Uganda,2.4035,3.2411,2.6062
Non-CFA comparison,Zambia,1.7414,-0.3149,4.7613
Non-CFA comparison,Zimbabwe,-0.2753,-2.2073,-1.6776
