group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0376,1.1943
WAEMU,Benin,1.0649,1.3136
WAEMU,Burkina Faso,1.1109,1.1701
WAEMU,Cote d'Ivoire,0.982,1.4792
WAEMU,Guinea-Bissau,1.0006,1.0087
WAEMU,Mali,1.4169,1.3154
WAEMU,Niger,0.9174,1.0392
WAEMU,Senegal,0.9585,1.0768
WAEMU,Togo,0.85,1.1513
CAEMC,Average CAEMC,1.106,1.6007
CAEMC,Cameroon,0.9538,1.1564
CAEMC,Central African Republic,0.9095,0.9925
CAEMC,Chad,0.9452,2.0513
CAEMC,"Congo, Rep.",0.8206,1.7335
CAEMC,Equatorial Guinea,2.121,2.2275
CAEMC,Gabon,0.886,1.4431
Non-CFA comparison,Angola,0.849,2.3938
Non-CFA comparison,Average Non-CFA comparison,0.9173,1.5392
Non-CFA comparison,Burundi,0.8437,1.0921
Non-CFA comparison,"Congo, Dem. Rep.",0.5873,1.471
Non-CFA comparison,Ethiopia,0.8055,2.3251
Non-CFA comparison,"Gambia, The",0.9707,1.0306
Non-CFA comparison,Ghana,1.0002,1.4355
Non-CFA comparison,Guinea,0.9647,0.8879
Non-CFA comparison,Kenya,0.9849,1.4007
Non-CFA comparison,Madagascar,0.8778,1.3323
Non-CFA comparison,Malawi,0.9926,1.1672
Non-CFA comparison,Nigeria,0.7068,3.3362
Non-CFA comparison,Sao Tome and Principe,0.9752,1.5004
Non-CFA comparison,Sierra Leone,0.9182,1.2085
Non-CFA comparison,Sudan,1.0171,1.5549
Non-CFA comparison,Tanzania,0.944,1.5364
Non-CFA comparison,Uganda,1.226,1.3235
Non-CFA comparison,Zambia,0.8734,1.9759
Non-CFA comparison,Zimbabwe,0.9751,0.7329
