group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,19.5224,3.5006,37.1003
WAEMU,Benin,44.3284,6.0907,78.3218
WAEMU,Burkina Faso,26.9208,7.648,53.17
WAEMU,Cote d'Ivoire,16.4928,0.5995,31.4738
WAEMU,Guinea-Bissau,-1.3497,3.2185,-1.4867
WAEMU,Mali,83.8792,41.572,152.9595
WAEMU,Niger,-1.1799,-9.3755,-8.9572
WAEMU,Senegal,-1.5161,-7.1026,3.9594
WAEMU,Togo,-11.3965,-14.6454,-12.6386
CAEMC,Average CAEMC,106.117,16.468,220.3885
CAEMC,Cameroon,11.5159,-1.9857,17.261
CAEMC,Central African Republic,-10.9331,-9.7393,-19.2163
CAEMC,Chad,11.683,-5.6073,35.0517
CAEMC,"Congo, Rep.",30.8495,-18.2115,72.7452
CAEMC,Equatorial Guinea,563.4397,135.7494,1158.1076
CAEMC,Gabon,30.1471,-1.3976,58.3819
Non-CFA comparison,Angola,42.8099,-6.8674,95.2394
Non-CFA comparison,Average Non-CFA comparison,24.5961,-8.1183,49.4143
Non-CFA comparison,Burundi,-13.324,-14.7566,-21.0225
Non-CFA comparison,"Congo, Dem. Rep.",-24.1796,-40.9127,-48.5965
Non-CFA comparison,Ethiopia,18.9902,-20.7769,53.5984
Non-CFA comparison,"Gambia, The",-5.6214,-3.6654,-13.9485
Non-CFA comparison,Ghana,22.4956,-1.256,51.3168
Non-CFA comparison,Guinea,-18.3108,-2.811,-38.4309
Non-CFA comparison,Kenya,10.5987,-0.5881,24.183
Non-CFA comparison,Madagascar,3.0463,-10.4227,8.366
Non-CFA comparison,Malawi,9.479,0.7872,6.9758
Non-CFA comparison,Nigeria,231.0915,-28.1468,414.0713
Non-CFA comparison,Sao Tome and Principe,31.4972,-5.533,65.44
Non-CFA comparison,Sierra Leone,-10.6671,-10.074,-9.6247
Non-CFA comparison,Sudan,34.9007,-0.2662,75.8892
Non-CFA comparison,Tanzania,45.2588,-4.5023,87.5948
Non-CFA comparison,Uganda,48.512,21.7475,93.677
Non-CFA comparison,Zambia,46.7944,-15.6809,99.0082
Non-CFA comparison,Zimbabwe,-30.6417,-2.4031,-54.2803
