group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,1.1643,0.9344,2.3035
WAEMU,Benin,1.4248,2.1515,3.6907
WAEMU,Burkina Faso,1.7346,1.7076,2.6433
WAEMU,Cote d'Ivoire,1.8226,-1.3287,4.4423
WAEMU,Guinea-Bissau,0.3488,1.2142,0.1388
WAEMU,Mali,3.7036,5.9612,3.055
WAEMU,Niger,-1.0906,-0.9539,0.6759
WAEMU,Senegal,1.0155,-0.4054,1.077
WAEMU,Togo,0.355,-0.871,2.7054
CAEMC,Average CAEMC,2.8996,4.0111,2.9391
CAEMC,Cameroon,1.0261,-0.3967,1.6367
CAEMC,Central African Republic,-0.0603,-1.2239,0.0969
CAEMC,Chad,2.0823,-1.2063,3.6622
CAEMC,"Congo, Rep.",3.2913,2.5225,4.99
CAEMC,Equatorial Guinea,10.0524,23.3954,4.295
CAEMC,Gabon,1.0055,0.9758,2.9536
Non-CFA comparison,Angola,2.5383,-1.1105,7.1167
Non-CFA comparison,Average Non-CFA comparison,1.1192,-0.8698,3.5563
Non-CFA comparison,Burundi,-0.3571,-2.5567,0.6813
Non-CFA comparison,"Congo, Dem. Rep.",-1.2964,-9.335,3.7969
Non-CFA comparison,Ethiopia,3.7832,-1.128,8.677
Non-CFA comparison,"Gambia, The",-0.5106,-0.1504,-1.171
Non-CFA comparison,Ghana,1.3842,0.2675,3.7421
Non-CFA comparison,Guinea,-0.7293,-2.3127,0.0412
Non-CFA comparison,Kenya,1.7172,-0.6927,4.1327
Non-CFA comparison,Madagascar,0.1248,-0.5813,0.8071
Non-CFA comparison,Malawi,0.0484,-1.8283,1.7765
Non-CFA comparison,Nigeria,2.131,1.0359,11.3038
Non-CFA comparison,Sao Tome and Principe,1.1529,1.2022,3.2892
Non-CFA comparison,Sierra Leone,1.3195,-1.7303,3.3163
Non-CFA comparison,Sudan,1.9467,0.9494,3.9146
Non-CFA comparison,Tanzania,1.2458,1.4001,3.8104
Non-CFA comparison,Uganda,2.5206,3.3,2.6727
Non-CFA comparison,Zambia,2.1354,-0.3835,5.454
Non-CFA comparison,Zimbabwe,0.991,-2.0014,0.6515
