group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,28.7764,7.6234,58.1165
WAEMU,Benin,26.9422,8.2695,55.4429
WAEMU,Burkina Faso,35.0154,13.5347,70.4737
WAEMU,Cote d'Ivoire,4.0089,-6.1255,7.3906
WAEMU,Guinea-Bissau,-1.7996,0.8851,-0.683
WAEMU,Mali,155.9109,64.1248,309.714
WAEMU,Niger,4.7242,-6.4875,1.8957
WAEMU,Senegal,9.5343,-2.0233,21.9187
WAEMU,Togo,-4.1246,-11.1906,-1.2205
CAEMC,Average CAEMC,82.2254,21.0952,163.7594
CAEMC,Cameroon,6.8061,-11.9187,4.7897
CAEMC,Central African Republic,-8.6929,-6.498,-19.8352
CAEMC,Chad,26.2999,-3.3378,65.8729
CAEMC,"Congo, Rep.",-2.6392,-8.635,-3.6045
CAEMC,Equatorial Guinea,479.9366,157.9687,955.3327
CAEMC,Gabon,-8.3582,-1.0081,-19.9994
Non-CFA comparison,Angola,5.6979,-18.6092,23.0705
Non-CFA comparison,Average Non-CFA comparison,11.2879,-5.2215,27.7643
Non-CFA comparison,Burundi,-18.4544,-15.8062,-27.1816
Non-CFA comparison,"Congo, Dem. Rep.",-30.2197,-39.6922,-50.1613
Non-CFA comparison,Ethiopia,32.6598,-8.2887,79.452
Non-CFA comparison,"Gambia, The",-1.3926,-3.0692,-4.1126
Non-CFA comparison,Ghana,33.0935,9.0138,70.1488
Non-CFA comparison,Guinea,16.9993,7.7922,35.2534
Non-CFA comparison,Kenya,-0.0986,-7.157,7.6363
Non-CFA comparison,Madagascar,-9.5526,-12.0404,-15.6817
Non-CFA comparison,Malawi,14.7693,3.6072,24.6806
Non-CFA comparison,Nigeria,17.194,-6.6308,44.4334
Non-CFA comparison,Sao Tome and Principe,16.6657,-2.2359,28.422
Non-CFA comparison,Sierra Leone,-21.2998,-32.6645,-24.2672
Non-CFA comparison,Sudan,40.6173,13.4613,80.3593
Non-CFA comparison,Tanzania,30.6047,5.7729,66.4855
Non-CFA comparison,Uganda,55.7775,23.0231,111.8489
Non-CFA comparison,Zambia,14.548,-9.4623,33.2115
Non-CFA comparison,Zimbabwe,5.5725,-1.0013,16.1601
