group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0762,1.2293
WAEMU,Benin,1.0827,1.2663
WAEMU,Burkina Faso,1.1353,1.2871
WAEMU,Cote d'Ivoire,0.9387,1.2293
WAEMU,Guinea-Bissau,1.0089,1.0561
WAEMU,Mali,1.6412,1.5549
WAEMU,Niger,0.9351,1.0845
WAEMU,Senegal,0.9798,1.1701
WAEMU,Togo,0.8881,1.1865
CAEMC,Average CAEMC,1.211,1.1521
CAEMC,Cameroon,0.8808,1.1303
CAEMC,Central African Republic,0.935,0.891
CAEMC,Chad,0.9666,1.6232
CAEMC,"Congo, Rep.",0.9137,1.0826
CAEMC,Equatorial Guinea,2.5797,1.2544
CAEMC,Gabon,0.9899,0.9309
Non-CFA comparison,Angola,0.8139,1.3618
Non-CFA comparison,Average Non-CFA comparison,0.9478,1.2907
Non-CFA comparison,Burundi,0.8419,0.9957
Non-CFA comparison,"Congo, Dem. Rep.",0.6031,1.2676
Non-CFA comparison,Ethiopia,0.9171,1.8181
Non-CFA comparison,"Gambia, The",0.9693,0.9722
Non-CFA comparison,Ghana,1.0901,1.3916
Non-CFA comparison,Guinea,1.0779,1.113
Non-CFA comparison,Kenya,0.9284,1.2164
Non-CFA comparison,Madagascar,0.8796,1.1087
Non-CFA comparison,Malawi,1.0361,1.2655
Non-CFA comparison,Nigeria,0.9337,1.3615
Non-CFA comparison,Sao Tome and Principe,0.9776,1.3004
Non-CFA comparison,Sierra Leone,0.6734,1.2835
Non-CFA comparison,Sudan,1.1346,1.2759
Non-CFA comparison,Tanzania,1.0577,1.3741
Non-CFA comparison,Uganda,1.2302,1.3473
Non-CFA comparison,Zambia,0.9054,1.43
Non-CFA comparison,Zimbabwe,0.99,1.3489
