group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,20.191,3.6663,37.4808
WAEMU,Benin,48.319,6.6976,81.2933
WAEMU,Burkina Faso,28.7105,11.6129,53.0395
WAEMU,Cote d'Ivoire,16.8289,-1.931,33.6791
WAEMU,Guinea-Bissau,-4.4451,0.32,-4.2981
WAEMU,Mali,83.2755,41.1511,151.0575
WAEMU,Niger,0.2279,-8.3152,-6.8035
WAEMU,Senegal,-0.2904,-4.8244,4.5745
WAEMU,Togo,-11.0981,-15.3807,-12.6955
CAEMC,Average CAEMC,96.9573,10.0086,205.3099
CAEMC,Cameroon,10.6938,-4.4973,17.9228
CAEMC,Central African Republic,-10.7293,-9.3541,-18.5461
CAEMC,Chad,12.8938,-5.5541,38.0487
CAEMC,"Congo, Rep.",26.24,-19.365,57.7597
CAEMC,Equatorial Guinea,532.9266,109.0933,1107.7549
CAEMC,Gabon,9.719,-10.2711,28.9193
Non-CFA comparison,Angola,48.4202,-11.9331,113.6706
Non-CFA comparison,Average Non-CFA comparison,24.1188,-8.0787,49.8911
Non-CFA comparison,Burundi,-14.7442,-15.9813,-21.3158
Non-CFA comparison,"Congo, Dem. Rep.",-24.4031,-41.2534,-47.6604
Non-CFA comparison,Ethiopia,23.07,-19.7962,61.9281
Non-CFA comparison,"Gambia, The",-1.2882,-3.071,-5.2412
Non-CFA comparison,Ghana,23.9375,1.3246,52.642
Non-CFA comparison,Guinea,-19.3457,-3.9735,-38.9111
Non-CFA comparison,Kenya,9.7942,-1.6956,24.286
Non-CFA comparison,Madagascar,1.3935,-12.4792,8.2117
Non-CFA comparison,Malawi,10.5406,-0.9331,11.0872
Non-CFA comparison,Nigeria,192.8306,-28.3234,348.0534
Non-CFA comparison,Sao Tome and Principe,37.6483,-4.8353,75.5551
Non-CFA comparison,Sierra Leone,-8.2193,-8.6533,-4.588
Non-CFA comparison,Sudan,37.4679,2.1195,78.6716
Non-CFA comparison,Tanzania,45.023,-4.6175,88.9557
Non-CFA comparison,Uganda,51.1556,22.9095,98.6985
Non-CFA comparison,Zambia,51.9191,-12.4788,108.3386
Non-CFA comparison,Zimbabwe,-31.0613,-1.7458,-54.3414
