group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0072,1.0048,1.0147
WAEMU,Benin,1.0117,1.0174,1.0147
WAEMU,Burkina Faso,1.0225,1.0212,1.0274
WAEMU,Cote d'Ivoire,0.9973,0.9903,1.0156
WAEMU,Guinea-Bissau,1.0149,1.0121,1.0105
WAEMU,Mali,1.0093,1.0153,1.0106
WAEMU,Niger,0.9956,0.9842,1.0136
WAEMU,Senegal,1.0072,1.0027,1.0137
WAEMU,Togo,0.9991,0.9949,1.0115
CAEMC,Average CAEMC,1.0179,1.0414,1.0079
CAEMC,Cameroon,1.004,0.9808,1.0143
CAEMC,Central African Republic,0.9934,0.9871,0.9991
CAEMC,Chad,1.021,0.9931,1.0313
CAEMC,"Congo, Rep.",1.0017,0.9881,0.9982
CAEMC,Equatorial Guinea,1.0936,1.3045,1.01
CAEMC,Gabon,0.994,0.9949,0.9948
Non-CFA comparison,Angola,1.0026,0.9832,1.0221
Non-CFA comparison,Average Non-CFA comparison,1.0062,0.9962,1.0206
Non-CFA comparison,Burundi,0.9976,0.9721,1.0042
Non-CFA comparison,"Congo, Dem. Rep.",0.9833,0.9183,1.0228
Non-CFA comparison,Ethiopia,1.0277,1.0014,1.0616
Non-CFA comparison,"Gambia, The",0.9989,1.0018,0.9984
Non-CFA comparison,Ghana,1.0203,1.0146,1.038
Non-CFA comparison,Guinea,1.015,1.0127,1.0225
Non-CFA comparison,Kenya,1.0068,0.9922,1.0184
Non-CFA comparison,Madagascar,0.9914,0.9914,0.9997
Non-CFA comparison,Malawi,1.0087,1.0119,1.0221
Non-CFA comparison,Nigeria,1.0052,1.0029,1.0295
Non-CFA comparison,Sao Tome and Principe,1.0001,0.9951,1.0204
Non-CFA comparison,Sierra Leone,1.0001,0.9693,1.0296
Non-CFA comparison,Sudan,1.0038,1.0227,0.9918
Non-CFA comparison,Tanzania,1.018,1.0094,1.034
Non-CFA comparison,Uganda,1.024,1.0316,1.03
Non-CFA comparison,Zambia,1.0071,0.9924,1.0302
Non-CFA comparison,Zimbabwe,1.0019,1.0092,0.9949
