group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,10.0156,1.5059,18.9332
WAEMU,Benin,15.0349,5.8072,29.0447
WAEMU,Burkina Faso,36.3184,13.8793,72.3119
WAEMU,Cote d'Ivoire,0.069,-4.8996,-6.8828
WAEMU,Guinea-Bissau,4.8537,4.2937,13.5923
WAEMU,Mali,19.4795,9.658,36.0096
WAEMU,Niger,-2.2241,-9.7446,-5.997
WAEMU,Senegal,8.2678,-0.751,16.1091
WAEMU,Togo,-1.6744,-6.1959,-2.7221
CAEMC,Average CAEMC,231.8059,63.0788,468.7049
CAEMC,Cameroon,-0.3794,-15.7287,-1.2491
CAEMC,Central African Republic,-7.446,-10.0592,-14.7153
CAEMC,Chad,21.6136,-3.4879,53.8002
CAEMC,"Congo, Rep.",-3.5819,-8.7993,-5.3071
CAEMC,Equatorial Guinea,1387.3034,417.0637,2796.2874
CAEMC,Gabon,-6.6747,-0.516,-16.5863
Non-CFA comparison,Angola,7.6052,-18.5389,24.283
Non-CFA comparison,Average Non-CFA comparison,10.2199,-4.456,23.6362
Non-CFA comparison,Burundi,-19.7482,-17.1802,-28.6853
Non-CFA comparison,"Congo, Dem. Rep.",-29.9515,-39.6922,-49.5652
Non-CFA comparison,Ethiopia,33.7595,-8.4919,78.0612
Non-CFA comparison,"Gambia, The",-1.7101,-2.4093,-4.2127
Non-CFA comparison,Ghana,33.195,8.9426,70.4202
Non-CFA comparison,Guinea,15.8861,6.8474,33.4097
Non-CFA comparison,Kenya,-1.2641,-7.0695,4.7545
Non-CFA comparison,Madagascar,-9.5161,-12.0766,-15.6461
Non-CFA comparison,Malawi,22.7493,9.9636,38.2593
Non-CFA comparison,Nigeria,17.6125,-6.6308,44.4314
Non-CFA comparison,Sao Tome and Principe,14.4947,-2.2359,23.5975
Non-CFA comparison,Sierra Leone,-5.5967,-20.1956,-5.0925
Non-CFA comparison,Sudan,27.8551,17.0361,46.8376
Non-CFA comparison,Tanzania,18.5571,-2.8996,48.5394
Non-CFA comparison,Uganda,53.2944,20.328,100.6508
Non-CFA comparison,Zambia,16.7365,-7.8529,35.8209
Non-CFA comparison,Zimbabwe,-10.0006,1.9479,-20.4125
