group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,17.1986,-13.5409,60.3904
WAEMU,Benin,68.5427,3.0203,161.9228
WAEMU,Burkina Faso,21.9582,-19.9505,77.2368
WAEMU,Cote d'Ivoire,43.0946,7.7179,91.5125
WAEMU,Guinea-Bissau,-13.7939,-15.6344,-4.6832
WAEMU,Mali,41.5629,-4.2442,111.1094
WAEMU,Niger,-17.9051,-35.5044,2.0411
WAEMU,Senegal,-2.0866,-22.3255,23.5922
WAEMU,Togo,-3.7841,-21.4068,20.3917
CAEMC,Average CAEMC,392.5277,7.8585,880.0717
CAEMC,Cameroon,2.9902,-18.9766,27.0809
CAEMC,Central African Republic,-25.4262,-32.6416,-18.8571
CAEMC,Chad,89.9811,-22.781,230.9111
CAEMC,"Congo, Rep.",40.9156,-22.4484,112.8242
CAEMC,Equatorial Guinea,2250.0108,169.8191,4903.0688
CAEMC,Gabon,-3.3052,-25.8203,25.4025
Non-CFA comparison,Angola,96.2219,-42.2383,255.8208
Non-CFA comparison,Average Non-CFA comparison,61.9144,-2.6026,126.7647
Non-CFA comparison,Burundi,-3.4519,-22.2989,2.2576
Non-CFA comparison,"Congo, Dem. Rep.",17.1678,-26.31,40.2927
Non-CFA comparison,Ethiopia,12.7471,-36.8726,59.5288
Non-CFA comparison,"Gambia, The",73.9471,91.5461,108.7367
Non-CFA comparison,Ghana,108.1361,-6.989,248.7614
Non-CFA comparison,Guinea,61.4608,7.7786,14.3881
Non-CFA comparison,Kenya,92.4008,0.7759,204.6316
Non-CFA comparison,Madagascar,18.2193,-10.3723,33.9448
Non-CFA comparison,Malawi,31.0565,-7.7093,82.0368
Non-CFA comparison,Nigeria,161.0836,65.8141,270.1218
Non-CFA comparison,Sao Tome and Principe,-2.0534,-22.8951,18.1913
Non-CFA comparison,Sierra Leone,194.5291,26.7808,375.1343
Non-CFA comparison,Sudan,-45.0181,-58.6113,-27.3405
Non-CFA comparison,Tanzania,126.8433,25.8252,200.6591
Non-CFA comparison,Uganda,66.1072,-3.456,150.7681
Non-CFA comparison,Zambia,93.788,-5.0786,203.1529
Non-CFA comparison,Zimbabwe,11.2738,-22.5355,40.6776
