group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0971,0.5569,1.4272
WAEMU,Benin,1.424,1.3831,1.4489
WAEMU,Burkina Faso,2.6268,2.5266,2.6881
WAEMU,Cote d'Ivoire,0.6372,-0.7043,1.4569
WAEMU,Guinea-Bissau,0.8329,0.5269,1.0199
WAEMU,Mali,1.4482,2.1384,1.0264
WAEMU,Niger,0.2947,-1.3901,1.3243
WAEMU,Senegal,1.0657,0.6041,1.3478
WAEMU,Togo,0.4472,-0.6292,1.105
CAEMC,Average CAEMC,1.6206,3.4573,0.4981
CAEMC,Cameroon,0.3518,-1.3797,1.4099
CAEMC,Central African Republic,-0.8247,-1.1171,-0.646
CAEMC,Chad,1.5929,-0.3607,2.7868
CAEMC,"Congo, Rep.",-0.6661,-1.2059,-0.3362
CAEMC,Equatorial Guinea,9.9447,25.6758,0.3313
CAEMC,Gabon,-0.6753,-0.8688,-0.5571
Non-CFA comparison,Angola,0.6149,-1.7574,2.0646
Non-CFA comparison,Average Non-CFA comparison,1.0016,-0.5313,1.9384
Non-CFA comparison,Burundi,-0.9938,-3.2794,0.403
Non-CFA comparison,"Congo, Dem. Rep.",-1.8414,-8.4837,2.2178
Non-CFA comparison,Ethiopia,3.6669,-0.0143,5.9165
Non-CFA comparison,"Gambia, The",-0.0597,0.2459,-0.2465
Non-CFA comparison,Ghana,2.8781,1.542,3.6946
Non-CFA comparison,Guinea,1.8342,1.2523,2.1899
Non-CFA comparison,Kenya,0.7681,-0.9354,1.8092
Non-CFA comparison,Madagascar,-0.4664,-1.006,-0.1367
Non-CFA comparison,Malawi,1.6652,0.8372,2.1712
Non-CFA comparison,Nigeria,1.5674,-0.5301,2.8493
Non-CFA comparison,Sao Tome and Principe,1.1906,-0.1264,1.9953
Non-CFA comparison,Sierra Leone,0.2486,-3.8133,2.7308
Non-CFA comparison,Sudan,0.572,3.1263,-0.9889
Non-CFA comparison,Tanzania,2.2311,0.4084,3.345
Non-CFA comparison,Uganda,3.003,3.1081,2.9388
Non-CFA comparison,Zambia,1.5872,-0.6345,2.9449
Non-CFA comparison,Zimbabwe,-0.437,0.4963,-1.0073
