group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0333,1.028,1.0365
WAEMU,Benin,1.035,1.0351,1.0349
WAEMU,Burkina Faso,1.0485,1.0474,1.0492
WAEMU,Cote d'Ivoire,1.0285,1.0142,1.0372
WAEMU,Guinea-Bissau,1.0388,1.0309,1.0436
WAEMU,Mali,1.0383,1.0444,1.0347
WAEMU,Niger,1.0217,1.0071,1.0306
WAEMU,Senegal,1.0302,1.0271,1.0321
WAEMU,Togo,1.0252,1.0177,1.0298
CAEMC,Average CAEMC,1.0458,1.0706,1.0307
CAEMC,Cameroon,1.0271,1.0076,1.039
CAEMC,Central African Republic,1.0204,1.0103,1.0265
CAEMC,Chad,1.0366,1.0199,1.0468
CAEMC,"Congo, Rep.",1.0223,1.0092,1.0302
CAEMC,Equatorial Guinea,1.1577,1.3635,1.0319
CAEMC,Gabon,1.011,1.013,1.0098
Non-CFA comparison,Angola,1.0339,1.0082,1.0497
Non-CFA comparison,Average Non-CFA comparison,1.034,1.0168,1.0445
Non-CFA comparison,Burundi,1.0149,0.9888,1.0308
Non-CFA comparison,"Congo, Dem. Rep.",1.0111,0.9387,1.0554
Non-CFA comparison,Ethiopia,1.0631,1.0229,1.0877
Non-CFA comparison,"Gambia, The",1.0177,1.0235,1.0142
Non-CFA comparison,Ghana,1.0472,1.0367,1.0537
Non-CFA comparison,Guinea,1.0459,1.0337,1.0533
Non-CFA comparison,Kenya,1.0358,1.0114,1.0507
Non-CFA comparison,Madagascar,1.0124,1.0109,1.0133
Non-CFA comparison,Malawi,1.0288,1.0323,1.0267
Non-CFA comparison,Nigeria,1.0358,1.0157,1.0481
Non-CFA comparison,Sao Tome and Principe,1.0395,1.0195,1.0517
Non-CFA comparison,Sierra Leone,1.0268,0.985,1.0524
Non-CFA comparison,Sudan,1.0289,1.054,1.0135
Non-CFA comparison,Tanzania,1.0411,1.0251,1.0508
Non-CFA comparison,Uganda,1.0452,1.0533,1.0402
Non-CFA comparison,Zambia,1.0309,1.0152,1.0405
Non-CFA comparison,Zimbabwe,1.0531,1.0272,1.069
