group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,1.1515,1.3326
WAEMU,Benin,1.2019,1.3358
WAEMU,Burkina Faso,1.2972,1.5634
WAEMU,Cote d'Ivoire,1.0773,1.2775
WAEMU,Guinea-Bissau,1.182,1.3511
WAEMU,Mali,1.246,1.3276
WAEMU,Niger,1.0186,1.2622
WAEMU,Senegal,1.1254,1.323
WAEMU,Togo,1.0633,1.2204
CAEMC,Average CAEMC,1.8993,1.4008
CAEMC,Cameroon,0.9518,1.3841
CAEMC,Central African Republic,1.0166,1.1771
CAEMC,Chad,1.0904,1.7376
CAEMC,"Congo, Rep.",1.029,1.2676
CAEMC,Equatorial Guinea,6.1831,1.763
CAEMC,Gabon,1.1251,1.0753
Non-CFA comparison,Angola,0.9198,1.6927
Non-CFA comparison,Average Non-CFA comparison,1.0818,1.5091
Non-CFA comparison,Burundi,0.9287,1.2577
Non-CFA comparison,"Congo, Dem. Rep.",0.6699,1.6742
Non-CFA comparison,Ethiopia,1.0378,2.3384
Non-CFA comparison,"Gambia, The",1.105,1.1478
Non-CFA comparison,Ghana,1.2379,1.6914
Non-CFA comparison,Guinea,1.2138,1.4212
Non-CFA comparison,Kenya,1.0504,1.5548
Non-CFA comparison,Madagascar,0.9936,1.2926
Non-CFA comparison,Malawi,1.2496,1.4133
Non-CFA comparison,Nigeria,1.0552,1.6189
Non-CFA comparison,Sao Tome and Principe,1.1068,1.4878
Non-CFA comparison,Sierra Leone,0.8962,1.5114
Non-CFA comparison,Sudan,1.335,1.2109
Non-CFA comparison,Tanzania,1.1005,1.5607
Non-CFA comparison,Uganda,1.3734,1.5041
Non-CFA comparison,Zambia,1.0416,1.6518
Non-CFA comparison,Zimbabwe,1.1572,1.1344
