group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,3.3277,2.7985,3.6511
WAEMU,Benin,3.4979,3.5088,3.4912
WAEMU,Burkina Faso,4.854,4.7383,4.9247
WAEMU,Cote d'Ivoire,2.85,1.4195,3.7241
WAEMU,Guinea-Bissau,3.8791,3.0937,4.3592
WAEMU,Mali,3.8337,4.4356,3.4658
WAEMU,Niger,2.1668,0.7125,3.0555
WAEMU,Senegal,3.023,2.7144,3.2117
WAEMU,Togo,2.5171,1.765,2.9768
CAEMC,Average CAEMC,4.5833,7.0573,3.0714
CAEMC,Cameroon,2.7078,0.7579,3.8995
CAEMC,Central African Republic,2.0373,1.0273,2.6545
CAEMC,Chad,3.6589,1.9852,4.6816
CAEMC,"Congo, Rep.",2.2256,0.9204,3.0232
CAEMC,Equatorial Guinea,15.7701,36.3536,3.1913
CAEMC,Gabon,1.1002,1.2996,0.9783
Non-CFA comparison,Angola,3.3927,0.8158,4.9676
Non-CFA comparison,Average Non-CFA comparison,3.4013,1.6783,4.4543
Non-CFA comparison,Burundi,1.4883,-1.1186,3.0814
Non-CFA comparison,"Congo, Dem. Rep.",1.113,-6.1302,5.5394
Non-CFA comparison,Ethiopia,6.3148,2.2937,8.7722
Non-CFA comparison,"Gambia, The",1.7739,2.3455,1.4245
Non-CFA comparison,Ghana,4.7238,3.667,5.3696
Non-CFA comparison,Guinea,4.5868,3.367,5.3322
Non-CFA comparison,Kenya,3.5779,1.1407,5.0674
Non-CFA comparison,Madagascar,1.2425,1.0935,1.3335
Non-CFA comparison,Malawi,2.8805,3.2276,2.6684
Non-CFA comparison,Nigeria,3.579,1.572,4.8055
Non-CFA comparison,Sao Tome and Principe,3.9513,1.9518,5.1731
Non-CFA comparison,Sierra Leone,2.6843,-1.5045,5.2441
Non-CFA comparison,Sudan,2.8869,5.4037,1.3488
Non-CFA comparison,Tanzania,4.1072,2.5119,5.0821
Non-CFA comparison,Uganda,4.515,5.3276,4.0185
Non-CFA comparison,Zambia,3.094,1.5234,4.0539
Non-CFA comparison,Zimbabwe,5.3121,2.7206,6.8958
