group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,0.6436,0.3375,1.3635
WAEMU,Benin,1.1521,1.797,1.4522
WAEMU,Burkina Faso,2.1416,2.1282,2.6032
WAEMU,Cote d'Ivoire,-0.4458,-1.5131,1.3561
WAEMU,Guinea-Bissau,1.3985,0.5969,1.0975
WAEMU,Mali,0.6542,1.5724,0.6437
WAEMU,Niger,-0.4599,-1.4947,1.2573
WAEMU,Senegal,0.8164,0.3191,1.408
WAEMU,Togo,-0.1083,-0.706,1.0897
CAEMC,Average CAEMC,0.9618,2.6624,0.0674
CAEMC,Cameroon,0.2449,-2.028,1.0509
CAEMC,Central African Republic,-0.8004,-1.7036,-0.6016
CAEMC,Chad,1.4145,-1.0098,2.0175
CAEMC,"Congo, Rep.",-0.2968,-1.3168,-0.9458
CAEMC,Equatorial Guinea,6.0592,22.6753,-0.3475
CAEMC,Gabon,-0.8506,-0.6426,-0.7694
Non-CFA comparison,Angola,-0.2871,-2.2457,1.2887
Non-CFA comparison,Average Non-CFA comparison,0.464,-0.524,1.6806
Non-CFA comparison,Burundi,-0.3663,-2.8073,0.0335
Non-CFA comparison,"Congo, Dem. Rep.",-1.8742,-8.7491,2.0491
Non-CFA comparison,Ethiopia,2.4283,-0.3068,5.5601
Non-CFA comparison,"Gambia, The",0.0261,0.2012,0.0727
Non-CFA comparison,Ghana,2.0069,1.6459,3.3672
Non-CFA comparison,Guinea,1.553,1.1989,2.19
Non-CFA comparison,Kenya,0.6995,-0.7815,1.7287
Non-CFA comparison,Madagascar,-1.127,-0.9759,-0.5148
Non-CFA comparison,Malawi,0.6675,0.9075,1.9195
Non-CFA comparison,Nigeria,0.0325,0.0902,2.0466
Non-CFA comparison,Sao Tome and Principe,0.0388,-0.3363,1.9171
Non-CFA comparison,Sierra Leone,-0.2636,-3.6829,2.4393
Non-CFA comparison,Sudan,0.7316,2.7885,-0.6521
Non-CFA comparison,Tanzania,1.6458,0.8271,3.0453
Non-CFA comparison,Uganda,2.4098,3.0842,2.8547
Non-CFA comparison,Zambia,0.4324,-0.8083,2.1715
Non-CFA comparison,Zimbabwe,-0.4019,0.5182,-1.2656
