group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,2.0977,-0.7821,5.1383
WAEMU,Benin,3.1801,4.3169,4.9254
WAEMU,Burkina Faso,2.8567,-1.0176,6.1936
WAEMU,Cote d'Ivoire,1.6712,0.8749,4.8839
WAEMU,Guinea-Bissau,2.3971,-4.7503,5.2067
WAEMU,Mali,2.5634,0.8175,5.4379
WAEMU,Niger,0.9709,-2.3171,5.4316
WAEMU,Senegal,1.7761,-2.3869,4.5974
WAEMU,Togo,1.3664,-1.7943,4.4297
CAEMC,Average CAEMC,3.0979,1.1046,5.2229
CAEMC,Cameroon,1.8474,-2.7976,4.2452
CAEMC,Central African Republic,1.0107,-5.1835,3.6347
CAEMC,Chad,3.4632,-1.9771,7.9155
CAEMC,"Congo, Rep.",2.4206,-1.5788,5.3993
CAEMC,Equatorial Guinea,8.972,19.2585,6.355
CAEMC,Gabon,0.8736,-1.094,3.7875
Non-CFA comparison,Angola,2.8062,-4.4279,7.3137
Non-CFA comparison,Average Non-CFA comparison,2.0968,-1.442,6.0639
Non-CFA comparison,Burundi,0.5694,-3.6004,3.4782
Non-CFA comparison,"Congo, Dem. Rep.",0.2445,-4.8138,7.1461
Non-CFA comparison,Ethiopia,3.6049,-6.4345,10.1002
Non-CFA comparison,"Gambia, The",2.0478,4.1058,2.6546
Non-CFA comparison,Ghana,4.591,-2.3635,11.1383
Non-CFA comparison,Guinea,-1.0706,-1.3859,4.7334
Non-CFA comparison,Kenya,3.6927,0.7692,8.0663
Non-CFA comparison,Madagascar,-0.4339,1.3569,2.0745
Non-CFA comparison,Malawi,1.8646,-1.3114,5.2638
Non-CFA comparison,Nigeria,2.839,1.6355,7.9677
Non-CFA comparison,Sao Tome and Principe,2.5553,-3.8273,7.5792
Non-CFA comparison,Sierra Leone,2.3604,3.6484,4.5231
Non-CFA comparison,Sudan,1.2974,-4.9181,2.2807
Non-CFA comparison,Tanzania,1.5625,3.5355,5.3651
Non-CFA comparison,Uganda,5.4694,-2.2771,6.5958
Non-CFA comparison,Zambia,1.2708,-2.3599,5.2233
Non-CFA comparison,Zimbabwe,2.4709,-3.2885,7.646
