group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,0.6375,0.4815,1.4069
WAEMU,Benin,1.2623,1.8291,1.4789
WAEMU,Burkina Faso,2.108,2.2078,2.6502
WAEMU,Cote d'Ivoire,-0.6918,-1.4411,1.4574
WAEMU,Guinea-Bissau,1.1426,1.0216,1.1296
WAEMU,Mali,0.5962,1.7461,0.6746
WAEMU,Niger,-0.4769,-1.4353,1.2943
WAEMU,Senegal,0.867,0.3456,1.4346
WAEMU,Togo,0.2924,-0.4217,1.1359
CAEMC,Average CAEMC,1.5223,3.9683,0.3322
CAEMC,Cameroon,0.2111,-1.9032,1.0659
CAEMC,Central African Republic,-0.6048,-1.6,-0.0802
CAEMC,Chad,1.5288,-0.7524,2.3162
CAEMC,"Congo, Rep.",0.2465,-1.2567,-0.7945
CAEMC,Equatorial Guinea,8.4592,29.8713,0.2134
CAEMC,Gabon,-0.7067,-0.549,-0.7279
Non-CFA comparison,Angola,-0.0573,-1.7407,1.4317
Non-CFA comparison,Average Non-CFA comparison,0.5784,-0.3827,1.7902
Non-CFA comparison,Burundi,-0.3644,-2.6672,0.0491
Non-CFA comparison,"Congo, Dem. Rep.",-1.6862,-8.2898,2.1085
Non-CFA comparison,Ethiopia,2.731,-0.0809,5.781
Non-CFA comparison,"Gambia, The",0.146,0.2214,0.1569
Non-CFA comparison,Ghana,1.9824,1.6612,3.4615
Non-CFA comparison,Guinea,1.5692,1.2123,2.247
Non-CFA comparison,Kenya,0.7568,-0.7644,1.7685
Non-CFA comparison,Madagascar,-1.0527,-0.9274,-0.393
Non-CFA comparison,Malawi,0.6811,1.1724,1.9593
Non-CFA comparison,Nigeria,0.1973,0.1533,2.152
Non-CFA comparison,Sao Tome and Principe,0.0262,-0.3237,1.9535
Non-CFA comparison,Sierra Leone,0.0075,-3.4112,2.6419
Non-CFA comparison,Sudan,0.7824,2.9463,-0.5735
Non-CFA comparison,Tanzania,1.6373,0.8513,3.1007
Non-CFA comparison,Uganda,2.478,3.1594,2.9189
Non-CFA comparison,Zambia,0.4888,-0.7214,2.231
Non-CFA comparison,Zimbabwe,0.0874,0.6602,-0.7709
