group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0116,1.0071,1.0141
WAEMU,Benin,1.0148,1.0148,1.0148
WAEMU,Burkina Faso,1.0267,1.027,1.0265
WAEMU,Cote d'Ivoire,1.0054,0.9887,1.0146
WAEMU,Guinea-Bissau,1.0098,1.0072,1.0113
WAEMU,Mali,1.0134,1.0255,1.0067
WAEMU,Niger,1.0042,0.9883,1.0129
WAEMU,Senegal,1.0117,1.007,1.0143
WAEMU,Togo,1.0067,0.9982,1.0114
CAEMC,Average CAEMC,1.0189,1.0472,1.0033
CAEMC,Cameroon,1.0024,0.9873,1.0107
CAEMC,Central African Republic,0.9949,0.9872,0.9992
CAEMC,Chad,1.0142,0.998,1.0232
CAEMC,"Congo, Rep.",0.9906,0.988,0.9921
CAEMC,Equatorial Guinea,1.1187,1.3308,1.0021
CAEMC,Gabon,0.9924,0.9919,0.9927
Non-CFA comparison,Angola,1.0047,0.9871,1.0143
Non-CFA comparison,Average Non-CFA comparison,1.0102,0.9962,1.0179
Non-CFA comparison,Burundi,0.9896,0.9697,1.0005
Non-CFA comparison,"Congo, Dem. Rep.",0.9846,0.9183,1.0211
Non-CFA comparison,Ethiopia,1.0373000000000001,1,1.0578
Non-CFA comparison,"Gambia, The",1.0021,1.003,1.0016
Non-CFA comparison,Ghana,1.0285,1.0175,1.0346
Non-CFA comparison,Guinea,1.0189,1.0125,1.0225
Non-CFA comparison,Kenya,1.0082,0.9911,1.0177
Non-CFA comparison,Madagascar,0.9938,0.9898,0.9961
Non-CFA comparison,Malawi,1.0167,1.0113,1.0196
Non-CFA comparison,Nigeria,1.0116,0.9937,1.0215
Non-CFA comparison,Sao Tome and Principe,1.0128,1.0006,1.0195
Non-CFA comparison,Sierra Leone,1.0041,0.9634,1.0264
Non-CFA comparison,Sudan,1.01,1.0386,0.9943
Non-CFA comparison,Tanzania,1.0219,1.0054,1.031
Non-CFA comparison,Uganda,1.0301,1.0317,1.0292
Non-CFA comparison,Zambia,1.0126,0.9949,1.0223
Non-CFA comparison,Zimbabwe,0.9963,1.0035,0.9923
