group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0791,0.562,1.3635
WAEMU,Benin,1.4543,1.4582,1.4522
WAEMU,Burkina Faso,2.6078,2.6162,2.6032
WAEMU,Cote d'Ivoire,0.4516,-1.193,1.3561
WAEMU,Guinea-Bissau,0.8011,0.2624,1.0975
WAEMU,Mali,1.2627,2.3881,0.6437
WAEMU,Niger,0.3744,-1.2309,1.2573
WAEMU,Senegal,1.1486,0.6769,1.408
WAEMU,Togo,0.532,-0.4819,1.0897
CAEMC,Average CAEMC,1.2172,3.3079,0.0674
CAEMC,Cameroon,0.1913,-1.3718,1.0509
CAEMC,Central African Republic,-0.8773,-1.3784,-0.6016
CAEMC,Chad,1.1377,-0.462,2.0175
CAEMC,"Congo, Rep.",-1.0599,-1.2674,-0.9458
CAEMC,Equatorial Guinea,8.7317,25.2391,-0.3475
CAEMC,Gabon,-0.82,-0.9121,-0.7694
Non-CFA comparison,Angola,0.1848,-1.8222,1.2887
Non-CFA comparison,Average Non-CFA comparison,0.8985,-0.5235,1.6806
Non-CFA comparison,Burundi,-1.1087,-3.1855,0.0335
Non-CFA comparison,"Congo, Dem. Rep.",-1.7385,-8.6252,2.0491
Non-CFA comparison,Ethiopia,3.501,-0.2427,5.5601
Non-CFA comparison,"Gambia, The",0.1473,0.283,0.0727
Non-CFA comparison,Ghana,2.7862,1.7298,3.3672
Non-CFA comparison,Guinea,1.8519,1.2372,2.19
Non-CFA comparison,Kenya,0.7913,-0.9131,1.7287
Non-CFA comparison,Madagascar,-0.7141,-1.0763,-0.5148
Non-CFA comparison,Malawi,1.5385,0.8457,1.9195
Non-CFA comparison,Nigeria,1.0833,-0.668,2.0466
Non-CFA comparison,Sao Tome and Principe,1.2565,0.0556,1.9171
Non-CFA comparison,Sierra Leone,0.1694,-3.9576,2.4393
Non-CFA comparison,Sudan,0.8971,3.7138,-0.6521
Non-CFA comparison,Tanzania,2.1491,0.5196,3.0453
Non-CFA comparison,Uganda,2.9376,3.0883,2.8547
Non-CFA comparison,Zambia,1.1863,-0.605,2.1715
Non-CFA comparison,Zimbabwe,-0.7459,0.1989,-1.2656
