group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,1.1593,0.7089,1.4069
WAEMU,Benin,1.479,1.4792,1.4789
WAEMU,Burkina Faso,2.6673,2.6983,2.6502
WAEMU,Cote d'Ivoire,0.5408,-1.1258,1.4574
WAEMU,Guinea-Bissau,0.9833,0.7173,1.1296
WAEMU,Mali,1.3412,2.5534,0.6746
WAEMU,Niger,0.4182,-1.1747,1.2943
WAEMU,Senegal,1.1739,0.7,1.4346
WAEMU,Togo,0.6703,-0.1763,1.1359
CAEMC,Average CAEMC,1.8883,4.7176,0.3322
CAEMC,Cameroon,0.2359,-1.2733,1.0659
CAEMC,Central African Republic,-0.5051,-1.2778,-0.0802
CAEMC,Chad,1.4222,-0.2032,2.3162
CAEMC,"Congo, Rep.",-0.9396,-1.2035,-0.7945
CAEMC,Equatorial Guinea,11.8742,33.0756,0.2134
CAEMC,Gabon,-0.7579,-0.8124,-0.7279
Non-CFA comparison,Angola,0.465,-1.2926,1.4317
Non-CFA comparison,Average Non-CFA comparison,1.0207,-0.3784,1.7902
Non-CFA comparison,Burundi,-1.0447,-3.0335,0.0491
Non-CFA comparison,"Congo, Dem. Rep.",-1.5384,-8.1691,2.1085
Non-CFA comparison,Ethiopia,3.7308,0.0032,5.781
Non-CFA comparison,"Gambia, The",0.2094,0.3049,0.1569
Non-CFA comparison,Ghana,2.8529,1.7462,3.4615
Non-CFA comparison,Guinea,1.8938,1.2515,2.247
Non-CFA comparison,Kenya,0.8235,-0.8947,1.7685
Non-CFA comparison,Madagascar,-0.6167,-1.0235,-0.393
Non-CFA comparison,Malawi,1.6663,1.1335,1.9593
Non-CFA comparison,Nigeria,1.164,-0.6324,2.152
Non-CFA comparison,Sao Tome and Principe,1.2815,0.0596,1.9535
Non-CFA comparison,Sierra Leone,0.4052,-3.6614,2.6419
Non-CFA comparison,Sudan,1.0003,3.8617,-0.5735
Non-CFA comparison,Tanzania,2.1913,0.5379,3.1007
Non-CFA comparison,Uganda,3.0066,3.1661,2.9189
Non-CFA comparison,Zambia,1.2568,-0.5144,2.231
Non-CFA comparison,Zimbabwe,-0.3745,0.3463,-0.7709
