group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0345,1.028,1.0381
WAEMU,Benin,1.0353,1.0359,1.035
WAEMU,Burkina Faso,1.0492,1.0483,1.0498
WAEMU,Cote d'Ivoire,1.0274,1.0092,1.0375
WAEMU,Guinea-Bissau,1.0393,1.0282,1.0454
WAEMU,Mali,1.0361,1.0469,1.0301
WAEMU,Niger,1.0255,1.0087,1.0348
WAEMU,Senegal,1.0335,1.0279,1.0367
WAEMU,Togo,1.0298,1.0189,1.0357
CAEMC,Average CAEMC,1.0454,1.0688,1.0325
CAEMC,Cameroon,1.0286,1.0076,1.0402
CAEMC,Central African Republic,1.0231,1.0077,1.0316
CAEMC,Chad,1.0341,1.0187,1.0426
CAEMC,"Congo, Rep.",1.0244,1.0085,1.0332
CAEMC,Equatorial Guinea,1.1458,1.3577,1.0293
CAEMC,Gabon,1.0161,1.0126,1.018
Non-CFA comparison,Angola,1.032,1.0075,1.0455
Non-CFA comparison,Average Non-CFA comparison,1.0355,1.0169,1.0457
Non-CFA comparison,Burundi,1.0188,0.9899,1.0347
Non-CFA comparison,"Congo, Dem. Rep.",1.0204,0.9373,1.0661
Non-CFA comparison,Ethiopia,1.0627,1.0207,1.0857
Non-CFA comparison,"Gambia, The",1.023,1.0239,1.0225
Non-CFA comparison,Ghana,1.0479,1.0386,1.053
Non-CFA comparison,Guinea,1.049,1.0335,1.0575
Non-CFA comparison,Kenya,1.0376,1.0116,1.0519
Non-CFA comparison,Madagascar,1.0109,1.0102,1.0112
Non-CFA comparison,Malawi,1.0319,1.0324,1.0316
Non-CFA comparison,Nigeria,1.0329,1.0143,1.0431
Non-CFA comparison,Sao Tome and Principe,1.0453,1.0214,1.0585
Non-CFA comparison,Sierra Leone,1.0261,0.9834,1.0496
Non-CFA comparison,Sudan,1.028,1.0602,1.0103
Non-CFA comparison,Tanzania,1.0443,1.0262,1.0542
Non-CFA comparison,Uganda,1.0468,1.0531,1.0433
Non-CFA comparison,Zambia,1.0282,1.0155,1.0352
Non-CFA comparison,Zimbabwe,1.0527,1.0243,1.0683
