group,country,1980-2021,1990-2001,2002-2021
WAEMU,Average WAEMU,3.4529,2.8011,3.8113
WAEMU,Benin,3.5346,3.5885,3.505
WAEMU,Burkina Faso,4.9248,4.8321,4.9757
WAEMU,Cote d'Ivoire,2.7447,0.9207,3.7478
WAEMU,Guinea-Bissau,3.9298,2.823,4.5386
WAEMU,Mali,3.606,4.693,3.0082
WAEMU,Niger,2.5522,0.8729,3.4758
WAEMU,Senegal,3.3549,2.7881,3.6666
WAEMU,Togo,2.976,1.8902,3.5731
CAEMC,Average CAEMC,4.537,6.8803,3.2482
CAEMC,Cameroon,2.8619,0.7648,4.0153
CAEMC,Central African Republic,2.3119,0.7665,3.1618
CAEMC,Chad,3.4148,1.8738,4.2623
CAEMC,"Congo, Rep.",2.4411,0.8519,3.3151
CAEMC,Equatorial Guinea,14.5834,35.7678,2.932
CAEMC,Gabon,1.6093,1.2573,1.8029
Non-CFA comparison,Angola,3.1977,0.745,4.5467
Non-CFA comparison,Average Non-CFA comparison,3.5458,1.6894,4.5667
Non-CFA comparison,Burundi,1.877,-1.014,3.4671
Non-CFA comparison,"Congo, Dem. Rep.",2.0369,-6.2717,6.6066
Non-CFA comparison,Ethiopia,6.2651,2.0736,8.5704
Non-CFA comparison,"Gambia, The",2.2969,2.3866,2.2476
Non-CFA comparison,Ghana,4.7889,3.8624,5.2985
Non-CFA comparison,Guinea,4.8974,3.3526,5.747
Non-CFA comparison,Kenya,3.758,1.1627,5.1854
Non-CFA comparison,Madagascar,1.0854,1.0226,1.1199
Non-CFA comparison,Malawi,3.1869,3.2382,3.1586
Non-CFA comparison,Nigeria,3.291,1.4318,4.3135
Non-CFA comparison,Sao Tome and Principe,4.5347,2.1372,5.8533
Non-CFA comparison,Sierra Leone,2.6132,-1.658,4.9623
Non-CFA comparison,Sudan,2.8015,6.0226,1.0298
Non-CFA comparison,Tanzania,4.4296,2.6245,5.4224
Non-CFA comparison,Uganda,4.6774,5.3093,4.3298
Non-CFA comparison,Zambia,2.8194,1.552,3.5164
Non-CFA comparison,Zimbabwe,5.2668,2.4325,6.8256
