group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,1.011,1.0261
WAEMU,Benin,1.0238,1.0366
WAEMU,Burkina Faso,1.0211,1.0232
WAEMU,Cote d'Ivoire,0.9854,1.0469
WAEMU,Guinea-Bissau,1.0127,1.0084
WAEMU,Mali,1.0614,1.032
WAEMU,Niger,0.9936,1.008
WAEMU,Senegal,0.9991,1.0085
WAEMU,Togo,0.9905,1.0453
CAEMC,Average CAEMC,1.035,1.0324
CAEMC,Cameroon,0.9962,1.0181
CAEMC,Central African Republic,0.9875,1.0042
CAEMC,Chad,0.992,1.0325
CAEMC,"Congo, Rep.",1.0195,1.0504
CAEMC,Equatorial Guinea,1.2047,1.0512
CAEMC,Gabon,1.0098,1.0382
Non-CFA comparison,Angola,0.9865,1.0723
Non-CFA comparison,Average Non-CFA comparison,0.9948,1.0352
Non-CFA comparison,Burundi,0.9787,1.0075
Non-CFA comparison,"Congo, Dem. Rep.",0.908,1.039
Non-CFA comparison,Ethiopia,0.9966,1.0849
Non-CFA comparison,"Gambia, The",1.0012,0.9938
Non-CFA comparison,Ghana,1.007,1.0315
Non-CFA comparison,Guinea,0.9784,0.9979
Non-CFA comparison,Kenya,0.9979,1.0391
Non-CFA comparison,Madagascar,0.9944,1.0116
Non-CFA comparison,Malawi,0.9807,1.0233
Non-CFA comparison,Nigeria,1.0222,1.1035
Non-CFA comparison,Sao Tome and Principe,1.0216,1.0353
Non-CFA comparison,Sierra Leone,0.9883,1.034
Non-CFA comparison,Sudan,1.0114,1.0405
Non-CFA comparison,Tanzania,1.0113,1.0368
Non-CFA comparison,Uganda,1.0358,1.0271
Non-CFA comparison,Zambia,0.9999,1.0519
Non-CFA comparison,Zimbabwe,0.9859,1.0042
