group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0951,2.612
WAEMU,Benin,2.3778,3.6636
WAEMU,Burkina Faso,2.109,2.3183
WAEMU,Cote d'Ivoire,-1.4564,4.6856
WAEMU,Guinea-Bissau,1.269,0.842
WAEMU,Mali,6.1438,3.2027
WAEMU,Niger,-0.6441,0.8015
WAEMU,Senegal,-0.0918,0.848
WAEMU,Togo,-0.9469,4.5344
CAEMC,Average CAEMC,3.4965,3.2425
CAEMC,Cameroon,-0.3777,1.8088
CAEMC,Central African Republic,-1.2463,0.4163
CAEMC,Chad,-0.7953,3.2525
CAEMC,"Congo, Rep.",1.9494,5.0447
CAEMC,Equatorial Guinea,20.4725,5.1158
CAEMC,Gabon,0.9763,3.8167
Non-CFA comparison,Angola,-1.3499,7.2327
Non-CFA comparison,Average Non-CFA comparison,-0.5226,3.5223
Non-CFA comparison,Burundi,-2.1276,0.7517
Non-CFA comparison,"Congo, Dem. Rep.",-9.2003,3.8951
Non-CFA comparison,Ethiopia,-0.3372,8.4948
Non-CFA comparison,"Gambia, The",0.1239,-0.6223
Non-CFA comparison,Ghana,0.6989,3.1457
Non-CFA comparison,Guinea,-2.1597,-0.2148
Non-CFA comparison,Kenya,-0.2109,3.9072
Non-CFA comparison,Madagascar,-0.5571,1.1581
Non-CFA comparison,Malawi,-1.934,2.3259
Non-CFA comparison,Nigeria,2.2183,10.3465
Non-CFA comparison,Sao Tome and Principe,2.1604,3.5269
Non-CFA comparison,Sierra Leone,-1.165,3.3967
Non-CFA comparison,Sudan,1.1405,4.0525
Non-CFA comparison,Tanzania,1.127,3.6776
Non-CFA comparison,Uganda,3.5816,2.7093
Non-CFA comparison,Zambia,-0.008,5.1948
Non-CFA comparison,Zimbabwe,-1.4077,0.4237
