group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0093,1.023
WAEMU,Benin,1.0215,1.0369
WAEMU,Burkina Faso,1.0171,1.0264
WAEMU,Cote d'Ivoire,0.9867,1.0444
WAEMU,Guinea-Bissau,1.0121,1.0014
WAEMU,Mali,1.0596,1.0305
WAEMU,Niger,0.9905,1.0068
WAEMU,Senegal,0.9959,1.0108
WAEMU,Togo,0.9913,1.0271
CAEMC,Average CAEMC,1.0401,1.0294
CAEMC,Cameroon,0.996,1.0164
CAEMC,Central African Republic,0.9878,1.001
CAEMC,Chad,0.9879,1.0366
CAEMC,"Congo, Rep.",1.0252,1.0499
CAEMC,Equatorial Guinea,1.234,1.0429
CAEMC,Gabon,1.0098,1.0295
Non-CFA comparison,Angola,0.9889,1.0712
Non-CFA comparison,Average Non-CFA comparison,0.9913,1.0356
Non-CFA comparison,Burundi,0.9744,1.0068
Non-CFA comparison,"Congo, Dem. Rep.",0.9066,1.038
Non-CFA comparison,Ethiopia,0.9887,1.0868
Non-CFA comparison,"Gambia, The",0.9985,0.9883
Non-CFA comparison,Ghana,1.0027,1.0374
Non-CFA comparison,Guinea,0.9769,1.0004
Non-CFA comparison,Kenya,0.9931,1.0413
Non-CFA comparison,Madagascar,0.9942,1.0081
Non-CFA comparison,Malawi,0.9817,1.0178
Non-CFA comparison,Nigeria,1.0104,1.113
Non-CFA comparison,Sao Tome and Principe,1.012,1.0329
Non-CFA comparison,Sierra Leone,0.9827,1.0332
Non-CFA comparison,Sudan,1.0095,1.0391
Non-CFA comparison,Tanzania,1.014,1.0381
Non-CFA comparison,Uganda,1.033,1.0267
Non-CFA comparison,Zambia,0.9962,1.0545
Non-CFA comparison,Zimbabwe,0.98,1.0065
