group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,1.035,1.172
WAEMU,Benin,1.0609,1.3012
WAEMU,Burkina Faso,1.0765,1.2072
WAEMU,Cote d'Ivoire,1.006,1.4063
WAEMU,Guinea-Bissau,1.0322,0.9586
WAEMU,Mali,1.4157,1.2509
WAEMU,Niger,0.9062,1.0294
WAEMU,Senegal,0.929,1.1221
WAEMU,Togo,0.8535,1.1001
CAEMC,Average CAEMC,1.1647,1.5799
CAEMC,Cameroon,0.9801,1.136
CAEMC,Central African Republic,0.9026,0.9576
CAEMC,Chad,0.9439,2.097
CAEMC,"Congo, Rep.",0.8179,1.7351
CAEMC,Equatorial Guinea,2.3575,2.0947
CAEMC,Gabon,0.986,1.4592
Non-CFA comparison,Angola,0.9313,2.2595
Non-CFA comparison,Average Non-CFA comparison,0.9188,1.5348
Non-CFA comparison,Burundi,0.8524,1.0747
Non-CFA comparison,"Congo, Dem. Rep.",0.5909,1.4392
Non-CFA comparison,Ethiopia,0.7922,2.2662
Non-CFA comparison,"Gambia, The",0.9633,0.966
Non-CFA comparison,Ghana,0.98740000000000006,1.504
Non-CFA comparison,Guinea,0.9719,0.8789
Non-CFA comparison,Kenya,0.9941,1.3898
Non-CFA comparison,Madagascar,0.8958,1.2498
Non-CFA comparison,Malawi,1.0079,1.1294
Non-CFA comparison,Nigeria,0.7185,3.6931
Non-CFA comparison,Sao Tome and Principe,0.9447,1.3912
Non-CFA comparison,Sierra Leone,0.8993,1.2114
Non-CFA comparison,Sudan,0.9973,1.5701
Non-CFA comparison,Tanzania,0.955,1.5124
Non-CFA comparison,Uganda,1.2175,1.3126
Non-CFA comparison,Zambia,0.8432,2.0434
Non-CFA comparison,Zimbabwe,0.976,0.734
