group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,0.0135,NA
WAEMU,Benin,0.0279,NA
WAEMU,Burkina Faso,0.0282,NA
WAEMU,Cote d'Ivoire,-0.0077,NA
WAEMU,Guinea-Bissau,0.0036,NA
WAEMU,Mali,0.0875,NA
WAEMU,Niger,-0.0091,NA
WAEMU,Senegal,-0.0011,NA
WAEMU,Togo,-0.0214,NA
CAEMC,Average CAEMC,0.0644,NA
CAEMC,Cameroon,0.001,NA
CAEMC,Central African Republic,-0.0134,NA
CAEMC,Chad,-0.0085,NA
CAEMC,"Congo, Rep.",-0.0092,NA
CAEMC,Equatorial Guinea,0.4301,NA
CAEMC,Gabon,-0.0134,NA
Non-CFA comparison,Angola,-0.021,NA
Non-CFA comparison,Average Non-CFA comparison,-0.0068,NA
Non-CFA comparison,Burundi,-0.0244,NA
Non-CFA comparison,"Congo, Dem. Rep.",-0.0586,NA
Non-CFA comparison,Ethiopia,-0.0165,NA
Non-CFA comparison,"Gambia, The",0.0015,NA
Non-CFA comparison,Ghana,0.0065,NA
Non-CFA comparison,Guinea,-0.0235,NA
Non-CFA comparison,Kenya,-0.0053,NA
Non-CFA comparison,Madagascar,-0.0077,NA
Non-CFA comparison,Malawi,-0.0176,NA
Non-CFA comparison,Nigeria,0.0023,NA
Non-CFA comparison,Sao Tome and Principe,0.0258,NA
Non-CFA comparison,Sierra Leone,-0.025,NA
Non-CFA comparison,Sudan,0.0098,NA
Non-CFA comparison,Tanzania,0.0134,NA
Non-CFA comparison,Uganda,0.0433,NA
Non-CFA comparison,Zambia,-2e-4,NA
Non-CFA comparison,Zimbabwe,-0.026,NA
