group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0092,NA
WAEMU,Benin,1.0247,NA
WAEMU,Burkina Faso,1.0249,NA
WAEMU,Cote d'Ivoire,0.992,NA
WAEMU,Guinea-Bissau,1.0036,NA
WAEMU,Mali,1.0632,NA
WAEMU,Niger,0.9905,NA
WAEMU,Senegal,0.9989,NA
WAEMU,Togo,0.9759,NA
CAEMC,Average CAEMC,1.0209,NA
CAEMC,Cameroon,1.001,NA
CAEMC,Central African Republic,0.9856,NA
CAEMC,Chad,0.9911,NA
CAEMC,"Congo, Rep.",0.9903,NA
CAEMC,Equatorial Guinea,1.172,NA
CAEMC,Gabon,0.9856,NA
Non-CFA comparison,Angola,0.9764,NA
Non-CFA comparison,Average Non-CFA comparison,0.9896,NA
Non-CFA comparison,Burundi,0.9719,NA
Non-CFA comparison,"Congo, Dem. Rep.",0.9104,NA
Non-CFA comparison,Ethiopia,0.982,NA
Non-CFA comparison,"Gambia, The",1.0015,NA
Non-CFA comparison,Ghana,1.0063,NA
Non-CFA comparison,Guinea,0.9732,NA
Non-CFA comparison,Kenya,0.9946,NA
Non-CFA comparison,Madagascar,0.992,NA
Non-CFA comparison,Malawi,0.9806,NA
Non-CFA comparison,Nigeria,1.0023,NA
Non-CFA comparison,Sao Tome and Principe,1.023,NA
Non-CFA comparison,Sierra Leone,0.9712,NA
Non-CFA comparison,Sudan,1.0093,NA
Non-CFA comparison,Tanzania,1.0126,NA
Non-CFA comparison,Uganda,1.0361,NA
Non-CFA comparison,Zambia,0.9998,NA
Non-CFA comparison,Zimbabwe,0.9698,NA
