group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,0.7326,2.0997
WAEMU,Benin,2.2079,3.3902
WAEMU,Burkina Faso,1.9373,2.0547
WAEMU,Cote d'Ivoire,-1.6853,4.5409
WAEMU,Guinea-Bissau,0.5061,0.2595
WAEMU,Mali,5.4585,2.8244
WAEMU,Niger,-0.7443,0.5879
WAEMU,Senegal,-0.2829,0.7445
WAEMU,Togo,-1.5367,2.3956
CAEMC,Average CAEMC,1.9911,2.0123
CAEMC,Cameroon,-0.4883,1.7501
CAEMC,Central African Republic,-1.632,-0.2845
CAEMC,Chad,-1.0158,2.2142
CAEMC,"Congo, Rep.",0.3136,2.9983
CAEMC,Equatorial Guinea,14.7918,3.0535
CAEMC,Gabon,-0.0226,2.3422
Non-CFA comparison,Angola,-1.783,6.2262
Non-CFA comparison,Average Non-CFA comparison,-1.0391,2.8984
Non-CFA comparison,Burundi,-2.4687,0.3463
Non-CFA comparison,"Congo, Dem. Rep.",-10.8641,3.6502
Non-CFA comparison,Ethiopia,-0.87,7.7614
Non-CFA comparison,"Gambia, The",0.0846,-1.0784
Non-CFA comparison,Ghana,0.6424,2.9752
Non-CFA comparison,Guinea,-2.4718,-0.6357
Non-CFA comparison,Kenya,-0.3757,3.6913
Non-CFA comparison,Madagascar,-0.6447,0.9212
Non-CFA comparison,Malawi,-2.4223,1.6932
Non-CFA comparison,Nigeria,0.4067,8.9315
Non-CFA comparison,Sao Tome and Principe,1.2041,2.2741
Non-CFA comparison,Sierra Leone,-2.1975,2.7454
Non-CFA comparison,Sudan,1.03,3.5084
Non-CFA comparison,Tanzania,1.2912,3.5
Non-CFA comparison,Uganda,3.2318,2.544
Non-CFA comparison,Zambia,-0.3739,4.8123
Non-CFA comparison,Zimbabwe,-2.1224,-1.696
