group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0151,1.0994
WAEMU,Benin,1.0581,1.0919
WAEMU,Burkina Faso,1.1388,1.2871
WAEMU,Cote d'Ivoire,0.951,1.0577
WAEMU,Guinea-Bissau,1.0429,1.0572
WAEMU,Mali,1.0966,1.0753
WAEMU,Niger,0.9026,1.083
WAEMU,Senegal,0.9925,1.1125
WAEMU,Togo,0.938,1.0307
CAEMC,Average CAEMC,1.6308,1.1865
CAEMC,Cameroon,0.8427,1.1297
CAEMC,Central African Republic,0.8994,0.9507
CAEMC,Chad,0.9651,1.533
CAEMC,"Congo, Rep.",0.912,1.0636
CAEMC,Equatorial Guinea,5.1706,1.4997
CAEMC,Gabon,0.9948,0.9423
Non-CFA comparison,Angola,0.8146,1.3715
Non-CFA comparison,Average Non-CFA comparison,0.9554,1.241
Non-CFA comparison,Burundi,0.8282,1.0062
Non-CFA comparison,"Congo, Dem. Rep.",0.6031,1.2828
Non-CFA comparison,Ethiopia,0.9151,1.8079
Non-CFA comparison,"Gambia, The",0.9759,0.9949
Non-CFA comparison,Ghana,1.0894,1.4105
Non-CFA comparison,Guinea,1.0685,1.1275
Non-CFA comparison,Kenya,0.9293,1.1865
Non-CFA comparison,Madagascar,0.8792,1.1091
Non-CFA comparison,Malawi,1.0996,1.2704
Non-CFA comparison,Nigeria,0.9337,1.3614
Non-CFA comparison,Sao Tome and Principe,0.9776,1.2351
Non-CFA comparison,Sierra Leone,0.798,1.1918
Non-CFA comparison,Sudan,1.1704,1.0079
Non-CFA comparison,Tanzania,0.971,1.3622
Non-CFA comparison,Uganda,1.2033,1.3528
Non-CFA comparison,Zambia,0.9215,1.43
Non-CFA comparison,Zimbabwe,1.0195,0.8293
