group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,0.4774,1.4713
WAEMU,Benin,1.7435,1.4744
WAEMU,Burkina Faso,2.1218,2.7352
WAEMU,Cote d'Ivoire,-0.9669,1.5605
WAEMU,Guinea-Bissau,1.2139,1.053
WAEMU,Mali,1.5262,1.0578
WAEMU,Niger,-1.5824,1.3616
WAEMU,Senegal,0.2686,1.3735
WAEMU,Togo,-0.5054,1.1541
CAEMC,Average CAEMC,4.1423,0.7947
CAEMC,Cameroon,-1.9174,1.427
CAEMC,Central African Republic,-1.2936,-0.0872
CAEMC,Chad,-0.6881,3.1258
CAEMC,"Congo, Rep.",-1.1867,-0.1804
CAEMC,Equatorial Guinea,30.4517,1.0013
CAEMC,Gabon,-0.512,-0.5185
Non-CFA comparison,Angola,-1.6759,2.2099
Non-CFA comparison,Average Non-CFA comparison,-0.3767,2.0568
Non-CFA comparison,Burundi,-2.7902,0.4202
Non-CFA comparison,"Congo, Dem. Rep.",-8.1661,2.2775
Non-CFA comparison,Ethiopia,0.1385,6.1604
Non-CFA comparison,"Gambia, The",0.1773,-0.1573
Non-CFA comparison,Ghana,1.4584,3.7967
Non-CFA comparison,Guinea,1.2655,2.2481
Non-CFA comparison,Kenya,-0.7795,1.8432
Non-CFA comparison,Madagascar,-0.8582,-0.0297
Non-CFA comparison,Malawi,1.1934,2.2147
Non-CFA comparison,Nigeria,0.2904,2.9513
Non-CFA comparison,Sao Tome and Principe,-0.4889,2.0351
Non-CFA comparison,Sierra Leone,-3.0706,2.9644
Non-CFA comparison,Sudan,2.2684,-0.8239
Non-CFA comparison,Tanzania,0.9398,3.4049
Non-CFA comparison,Uganda,3.1561,3.0036
Non-CFA comparison,Zambia,-0.7611,3.0155
Non-CFA comparison,Zimbabwe,0.922,-0.5131
