group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,0.7511,5.5078
WAEMU,Benin,6.555,5.2511
WAEMU,Burkina Faso,0.5759,6.6411
WAEMU,Cote d'Ivoire,3.2385,5.0883
WAEMU,Guinea-Bissau,-3.6126,5.5681
WAEMU,Mali,1.6572,6.2716
WAEMU,Niger,-0.2353,5.8965
WAEMU,Senegal,-1.444,4.8585
WAEMU,Togo,-0.7259,4.487
CAEMC,Average CAEMC,3.6478,7.4646
CAEMC,Cameroon,-0.9101,4.9084
CAEMC,Central African Republic,-3.5989,4.2269
CAEMC,Chad,-0.7409,11.4617
CAEMC,"Congo, Rep.",0.3808,7.9315
CAEMC,Equatorial Guinea,26.6061,11.4873
CAEMC,Gabon,0.1495,4.7721
Non-CFA comparison,Angola,-1.8057,13.3653
Non-CFA comparison,Average Non-CFA comparison,2.0883,8.1103
Non-CFA comparison,Burundi,-3.3117,3.7866
Non-CFA comparison,"Congo, Dem. Rep.",13.5103,7.9011
Non-CFA comparison,Ethiopia,-5.2898,11.7886
Non-CFA comparison,"Gambia, The",7.2396,4.3969
Non-CFA comparison,Ghana,-1.4973,14.502
Non-CFA comparison,Guinea,-1.0546,5.1083
Non-CFA comparison,Kenya,2.0637,9.4331
Non-CFA comparison,Madagascar,2.3923,3.256
Non-CFA comparison,Malawi,2.2535,7.9012
Non-CFA comparison,Nigeria,9.3425,11.6517
Non-CFA comparison,Sao Tome and Principe,-2.0227,7.8737
Non-CFA comparison,Sierra Leone,10.3805,5.447
Non-CFA comparison,Sudan,6.0725,3.4128
Non-CFA comparison,Tanzania,4.1077,5.8035
Non-CFA comparison,Uganda,-0.7991,7.9549
Non-CFA comparison,Zambia,-1.7597,8.5736
Non-CFA comparison,Zimbabwe,-2.2333,13.8294
