group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,0.7065,1.4713
WAEMU,Benin,1.4013,1.4744
WAEMU,Burkina Faso,2.6066,2.7352
WAEMU,Cote d'Ivoire,-0.6366,1.5605
WAEMU,Guinea-Bissau,0.982,1.053
WAEMU,Mali,2.3015,1.0578
WAEMU,Niger,-1.332,1.3616
WAEMU,Senegal,0.6279,1.3735
WAEMU,Togo,-0.2992,1.1541
CAEMC,Average CAEMC,4.8903,0.7947
CAEMC,Cameroon,-1.2799,1.427
CAEMC,Central African Republic,-1.0227,-0.0872
CAEMC,Chad,-0.0943,3.1258
CAEMC,"Congo, Rep.",-1.1379,-0.1804
CAEMC,Equatorial Guinea,33.6477,1.0013
CAEMC,Gabon,-0.7709,-0.5185
Non-CFA comparison,Angola,-1.2231,2.2099
Non-CFA comparison,Average Non-CFA comparison,-0.3892,2.0568
Non-CFA comparison,Burundi,-3.1339,0.4202
Non-CFA comparison,"Congo, Dem. Rep.",-8.0299,2.2775
Non-CFA comparison,Ethiopia,0.2183,6.1604
Non-CFA comparison,"Gambia, The",0.2635,-0.1573
Non-CFA comparison,Ghana,1.5553,3.7967
Non-CFA comparison,Guinea,1.2634,2.2481
Non-CFA comparison,Kenya,-0.9163,1.8432
Non-CFA comparison,Madagascar,-0.9539,-0.0297
Non-CFA comparison,Malawi,1.1205,2.2147
Non-CFA comparison,Nigeria,-0.4951,2.9513
Non-CFA comparison,Sao Tome and Principe,-0.1221,2.0351
Non-CFA comparison,Sierra Leone,-3.5122,2.9644
Non-CFA comparison,Sudan,3.2581,-0.8239
Non-CFA comparison,Tanzania,0.4292,3.4049
Non-CFA comparison,Uganda,3.1843,3.0036
Non-CFA comparison,Zambia,-0.5426,3.0155
Non-CFA comparison,Zimbabwe,0.6302,-0.5131
