group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0074,1.0559
WAEMU,Benin,1.0665,1.054
WAEMU,Burkina Faso,1.0066,1.0678
WAEMU,Cote d'Ivoire,1.0273,1.0522
WAEMU,Guinea-Bissau,0.962,1.0572
WAEMU,Mali,1.0187,1.0586
WAEMU,Niger,0.9991,1.0587
WAEMU,Senegal,0.9863,1.0502
WAEMU,Togo,0.9923,1.0481
CAEMC,Average CAEMC,1.0346,1.0698
CAEMC,Cameroon,0.9911,1.0467
CAEMC,Central African Republic,0.9609,1.0432
CAEMC,Chad,0.9916,1.1043
CAEMC,"Congo, Rep.",1.0029,1.0729
CAEMC,Equatorial Guinea,1.2602,1.1028
CAEMC,Gabon,1.0011,1.049
Non-CFA comparison,Angola,0.9813,1.1195
Non-CFA comparison,Average Non-CFA comparison,1.0206,1.0769
Non-CFA comparison,Burundi,0.9675,1.0379
Non-CFA comparison,"Congo, Dem. Rep.",1.1332,1.0809
Non-CFA comparison,Ethiopia,0.9449,1.1115
Non-CFA comparison,"Gambia, The",1.0723,1.0453
Non-CFA comparison,Ghana,0.9871,1.136
Non-CFA comparison,Guinea,0.9886,1.0558
Non-CFA comparison,Kenya,1.0209,1.0868
Non-CFA comparison,Madagascar,1.0232,1.0281
Non-CFA comparison,Malawi,1.0217,1.0738
Non-CFA comparison,Nigeria,1.0919,1.0981
Non-CFA comparison,Sao Tome and Principe,0.9814,1.0823
Non-CFA comparison,Sierra Leone,1.0978,1.0515
Non-CFA comparison,Sudan,1.0677,1.0388
Non-CFA comparison,Tanzania,1.0406,1.057
Non-CFA comparison,Uganda,0.9921,1.0776
Non-CFA comparison,Zambia,0.9827,1.0701
Non-CFA comparison,Zimbabwe,0.9753,1.1332
