group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,0.7351,5.5863
WAEMU,Benin,6.6491,5.3989
WAEMU,Burkina Faso,0.6553,6.7826
WAEMU,Cote d'Ivoire,2.7347,5.2178
WAEMU,Guinea-Bissau,-3.7953,5.7202
WAEMU,Mali,1.8707,5.8626
WAEMU,Niger,-0.0939,5.8741
WAEMU,Senegal,-1.3672,5.0241
WAEMU,Togo,-0.7728,4.81
CAEMC,Average CAEMC,3.464,6.9828
CAEMC,Cameroon,-0.8929,4.6665
CAEMC,Central African Republic,-3.9051,4.3236
CAEMC,Chad,-0.8401,10.4325
CAEMC,"Congo, Rep.",0.2934,7.2941
CAEMC,Equatorial Guinea,26.0173,10.2806
CAEMC,Gabon,0.1115,4.8996
Non-CFA comparison,Angola,-1.8725,11.9469
Non-CFA comparison,Average Non-CFA comparison,2.0561,7.689
Non-CFA comparison,Burundi,-3.2508,3.7902
Non-CFA comparison,"Congo, Dem. Rep.",13.3171,8.0932
Non-CFA comparison,Ethiopia,-5.5123,11.1466
Non-CFA comparison,"Gambia, The",7.2345,4.525
Non-CFA comparison,Ghana,-1.294,13.5983
Non-CFA comparison,Guinea,-1.1405,5.5826
Non-CFA comparison,Kenya,2.0866,8.6842
Non-CFA comparison,Madagascar,2.3219,2.8064
Non-CFA comparison,Malawi,2.1703,7.383
Non-CFA comparison,Nigeria,9.1922,9.8144
Non-CFA comparison,Sao Tome and Principe,-1.8623,8.2339
Non-CFA comparison,Sierra Leone,9.7816,5.1463
Non-CFA comparison,Sudan,6.7732,3.8765
Non-CFA comparison,Tanzania,4.0565,5.696
Non-CFA comparison,Uganda,-0.7928,7.7551
Non-CFA comparison,Zambia,-1.7265,7.007
Non-CFA comparison,Zimbabwe,-2.4724,13.3167
