group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,0.6968,1.7018
WAEMU,Benin,1.5817,1.6691
WAEMU,Burkina Faso,3.0315,3.4922
WAEMU,Cote d'Ivoire,-1.1181,2.0194
WAEMU,Guinea-Bissau,0.2662,1.2013
WAEMU,Mali,2.7312,0.73
WAEMU,Niger,-1.1512,1.4193
WAEMU,Senegal,0.7028,1.88
WAEMU,Togo,-0.4693,1.2027
CAEMC,Average CAEMC,21.9753,0.0357
CAEMC,Cameroon,-1.2733,1.1217
CAEMC,Central African Republic,-1.279,-0.6601
CAEMC,Chad,-0.4505,2.2569
CAEMC,"Congo, Rep.",-1.183,-0.9984
CAEMC,Equatorial Guinea,136.9051,-0.8895
CAEMC,Gabon,-0.8678,-0.6166
Non-CFA comparison,Angola,-1.6512,0.9363
Non-CFA comparison,Average Non-CFA comparison,-0.1672,2.3673
Non-CFA comparison,Burundi,-2.6873,-0.0451
Non-CFA comparison,"Congo, Dem. Rep.",-5.5708,2.678
Non-CFA comparison,Ethiopia,-0.2395,10.9879
Non-CFA comparison,"Gambia, The",0.2875,0.4067
Non-CFA comparison,Ghana,1.9053,4.8887
Non-CFA comparison,Guinea,1.3254,2.6139
Non-CFA comparison,Kenya,-0.8688,2.3699
Non-CFA comparison,Madagascar,-1.0151,0.3222
Non-CFA comparison,Malawi,0.8863,2.5224
Non-CFA comparison,Nigeria,-0.6441,1.7996
Non-CFA comparison,Sao Tome and Principe,0.0558,2.3894
Non-CFA comparison,Sierra Leone,-3.2087,1.9149
Non-CFA comparison,Sudan,4.5871,-0.7801
Non-CFA comparison,Tanzania,0.5348,4.0096
Non-CFA comparison,Uganda,3.6777,3.5766
Non-CFA comparison,Zambia,-0.5853,2.7553
Non-CFA comparison,Zimbabwe,0.2011,-0.7347
