group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,0.5736,1.4559
WAEMU,Benin,1.4689,1.4603
WAEMU,Burkina Faso,2.6507,2.7148
WAEMU,Cote d'Ivoire,-1.186,1.7239
WAEMU,Guinea-Bissau,0.2628,1.0879
WAEMU,Mali,2.4169,0.686
WAEMU,Niger,-1.2233,1.2646
WAEMU,Senegal,0.6792,1.6204
WAEMU,Togo,-0.4807,1.0891
CAEMC,Average CAEMC,3.8917,-0.0849
CAEMC,Cameroon,-1.3624,1.022
CAEMC,Central African Republic,-1.3689,-0.7028
CAEMC,Chad,-0.461,1.8958
CAEMC,"Congo, Rep.",-1.2594,-1.1009
CAEMC,Equatorial Guinea,28.71,-0.9696
CAEMC,Gabon,-0.9079,-0.6536
Non-CFA comparison,Angola,-1.8057,0.8655
Non-CFA comparison,Average Non-CFA comparison,-0.4865,1.7305
Non-CFA comparison,Burundi,-3.1353,-0.0452
Non-CFA comparison,"Congo, Dem. Rep.",-8.2637,2.1885
Non-CFA comparison,Ethiopia,-0.2424,6.1134
Non-CFA comparison,"Gambia, The",0.2834,0.3925
Non-CFA comparison,Ghana,1.7448,3.518
Non-CFA comparison,Guinea,1.2449,2.1449
Non-CFA comparison,Kenya,-0.909,1.9759
Non-CFA comparison,Madagascar,-1.0706,0.3132
Non-CFA comparison,Malawi,0.8493,2.0821
Non-CFA comparison,Nigeria,-0.6658,1.56
Non-CFA comparison,Sao Tome and Principe,0.0556,1.9896
Non-CFA comparison,Sierra Leone,-3.8803,1.6465
Non-CFA comparison,Sudan,3.7836,-0.8408
Non-CFA comparison,Tanzania,0.521,3.0257
Non-CFA comparison,Uganda,3.1365,2.7667
Non-CFA comparison,Zambia,-0.6032,2.2406
Non-CFA comparison,Zimbabwe,0.1991,-0.7881
