group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,0.562,1.3635
WAEMU,Benin,1.4582,1.4522
WAEMU,Burkina Faso,2.6162,2.6032
WAEMU,Cote d'Ivoire,-1.193,1.3561
WAEMU,Guinea-Bissau,0.2624,1.0975
WAEMU,Mali,2.3881,0.6437
WAEMU,Niger,-1.2309,1.2573
WAEMU,Senegal,0.6769,1.408
WAEMU,Togo,-0.4819,1.0897
CAEMC,Average CAEMC,3.3079,0.0674
CAEMC,Cameroon,-1.3718,1.0509
CAEMC,Central African Republic,-1.3784,-0.6016
CAEMC,Chad,-0.462,2.0175
CAEMC,"Congo, Rep.",-1.2674,-0.9458
CAEMC,Equatorial Guinea,25.2391,-0.3475
CAEMC,Gabon,-0.9121,-0.7694
Non-CFA comparison,Angola,-1.8222,1.2887
Non-CFA comparison,Average Non-CFA comparison,-0.5235,1.6806
Non-CFA comparison,Burundi,-3.1855,0.0335
Non-CFA comparison,"Congo, Dem. Rep.",-8.6252,2.0491
Non-CFA comparison,Ethiopia,-0.2427,5.5601
Non-CFA comparison,"Gambia, The",0.283,0.0727
Non-CFA comparison,Ghana,1.7298,3.3672
Non-CFA comparison,Guinea,1.2372,2.19
Non-CFA comparison,Kenya,-0.9131,1.7287
Non-CFA comparison,Madagascar,-1.0763,-0.5148
Non-CFA comparison,Malawi,0.8457,1.9195
Non-CFA comparison,Nigeria,-0.668,2.0466
Non-CFA comparison,Sao Tome and Principe,0.0556,1.9171
Non-CFA comparison,Sierra Leone,-3.9576,2.4393
Non-CFA comparison,Sudan,3.7138,-0.6521
Non-CFA comparison,Tanzania,0.5196,3.0453
Non-CFA comparison,Uganda,3.0883,2.8547
Non-CFA comparison,Zambia,-0.605,2.1715
Non-CFA comparison,Zimbabwe,0.1989,-1.2656
