group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,2.8011,3.8113
WAEMU,Benin,3.5885,3.505
WAEMU,Burkina Faso,4.8321,4.9757
WAEMU,Cote d'Ivoire,0.9207,3.7478
WAEMU,Guinea-Bissau,2.823,4.5386
WAEMU,Mali,4.693,3.0082
WAEMU,Niger,0.8729,3.4758
WAEMU,Senegal,2.7881,3.6666
WAEMU,Togo,1.8902,3.5731
CAEMC,Average CAEMC,6.8803,3.2482
CAEMC,Cameroon,0.7648,4.0153
CAEMC,Central African Republic,0.7665,3.1618
CAEMC,Chad,1.8738,4.2623
CAEMC,"Congo, Rep.",0.8519,3.3151
CAEMC,Equatorial Guinea,35.7678,2.932
CAEMC,Gabon,1.2573,1.8029
Non-CFA comparison,Angola,0.745,4.5467
Non-CFA comparison,Average Non-CFA comparison,1.6894,4.5667
Non-CFA comparison,Burundi,-1.014,3.4671
Non-CFA comparison,"Congo, Dem. Rep.",-6.2717,6.6066
Non-CFA comparison,Ethiopia,2.0736,8.5704
Non-CFA comparison,"Gambia, The",2.3866,2.2476
Non-CFA comparison,Ghana,3.8624,5.2985
Non-CFA comparison,Guinea,3.3526,5.747
Non-CFA comparison,Kenya,1.1627,5.1854
Non-CFA comparison,Madagascar,1.0226,1.1199
Non-CFA comparison,Malawi,3.2382,3.1586
Non-CFA comparison,Nigeria,1.4318,4.3135
Non-CFA comparison,Sao Tome and Principe,2.1372,5.8533
Non-CFA comparison,Sierra Leone,-1.658,4.9623
Non-CFA comparison,Sudan,6.0226,1.0298
Non-CFA comparison,Tanzania,2.6245,5.4224
Non-CFA comparison,Uganda,5.3093,4.3298
Non-CFA comparison,Zambia,1.552,3.5164
Non-CFA comparison,Zimbabwe,2.4325,6.8256
