"treated_iso3c","treated_country","n_successful_placebos","n_units_ranked","pre_rmspe","post_rmspe","rmspe_ratio","rmspe_ratio_rank","p_rmspe_ratio","avg_post_gap","avg_abs_post_gap","avg_abs_gap_rank","p_avg_abs_gap","p_avg_gap_directional","avg_gap_direction","conclusion_10pct","conclusion_5pct"
"BEN","Benin",21,22,48.7960610521615,559.992648920983,11.4761855126455,6,0.272727272727273,-259.773299027011,391.47992769743,19,0.863636363636364,0.5,"negative",FALSE,FALSE
"BFA","Burkina Faso",21,22,81.2922660662458,620.22041650929,7.6295131938365,8,0.363636363636364,-407.034437088724,407.034437088724,19,0.863636363636364,0.318181818181818,"negative",FALSE,FALSE
"CIV","Côte d'Ivoire",21,22,132.308192074771,837.293875699302,6.32836004006559,9,0.409090909090909,-724.486931342059,724.486931342059,14,0.636363636363636,0.227272727272727,"negative",FALSE,FALSE
"MLI","Mali",21,22,60.2254789652774,496.840781770305,8.24967755020687,6,0.272727272727273,-255.005044383932,299.285009023067,22,1,0.5,"negative",FALSE,FALSE
"NER","Niger",21,22,104.488059593597,822.198357181497,7.86882597283761,8,0.363636363636364,-635.143238461933,635.143238461933,14,0.636363636363636,0.227272727272727,"negative",FALSE,FALSE
"SEN","Senegal",21,22,168.876781493572,762.503650981021,4.51514793352481,16,0.727272727272727,-567.247017230601,570.716800173781,14,0.636363636363636,0.227272727272727,"negative",FALSE,FALSE
"TGO","Togo",21,22,82.6766413745301,1221.53763652233,14.7748821942185,5,0.227272727272727,-1050.57607137125,1050.57607137125,8,0.363636363636364,0.0909090909090909,"negative",FALSE,FALSE
"CMR","Cameroon",21,22,193.734243313175,3233.29333222603,16.6893228421129,4,0.181818181818182,-2778.95856700141,2778.95856700141,2,0.0909090909090909,0.0454545454545455,"negative",FALSE,FALSE
"CAF","Central African Republic",21,22,113.743304325547,916.338503836782,8.05619732317704,8,0.363636363636364,-715.321827453251,715.321827453251,14,0.636363636363636,0.227272727272727,"negative",FALSE,FALSE
"TCD","Chad",21,22,105.818115715122,579.316727664204,5.4746460353141,13,0.590909090909091,-56.3871204614927,471.393983509069,16,0.727272727272727,0.590909090909091,"negative",FALSE,FALSE
"COG","Republic of Congo",21,22,129.16039510039,2142.24795060225,16.5859507392896,4,0.181818181818182,-1688.97100507815,1688.97100507815,6,0.272727272727273,0.0909090909090909,"negative",FALSE,FALSE
"GAB","Gabon",21,22,1129.64379579363,1991.09352521308,1.76258527920675,20,0.909090909090909,-1573.66773999984,1662.04591782645,6,0.272727272727273,0.0909090909090909,"negative",FALSE,FALSE
"GNQ","Equatorial Guinea",21,22,342.298099617764,9556.39598234054,27.9183436689013,1,0.0454545454545455,8321.60080115131,8321.60080115131,1,0.0454545454545455,0.0454545454545455,"positive",TRUE,TRUE
