"treated_iso3c","treated_country","placebo_iso3c","placebo_country","success","error_message"
"BEN","Benin","BGD","Bangladesh",TRUE,NA
"BEN","Benin","BOL","Bolivia",TRUE,NA
"BEN","Benin","BRB","Barbados",TRUE,NA
"BEN","Benin","BTN","Bhutan",TRUE,NA
"BEN","Benin","BWA","Botswana",TRUE,NA
"BEN","Benin","CPV","Cabo Verde",TRUE,NA
"BEN","Benin","DMA","Dominica",TRUE,NA
"BEN","Benin","ECU","Ecuador",TRUE,NA
"BEN","Benin","GRD","Grenada",TRUE,NA
"BEN","Benin","GUY","Guyana",TRUE,NA
"BEN","Benin","IRQ","Iraq",TRUE,NA
"BEN","Benin","KNA","St. Kitts and Nevis",TRUE,NA
"BEN","Benin","LAO","Lao PDR",TRUE,NA
"BEN","Benin","LCA","St. Lucia",TRUE,NA
"BEN","Benin","LSO","Lesotho",TRUE,NA
"BEN","Benin","MAR","Morocco",TRUE,NA
"BEN","Benin","MUS","Mauritius",TRUE,NA
"BEN","Benin","NAM","Namibia",TRUE,NA
"BEN","Benin","SWZ","Eswatini",TRUE,NA
"BEN","Benin","SYC","Seychelles",TRUE,NA
"BEN","Benin","TKM","Turkmenistan",TRUE,NA
"BFA","Burkina Faso","BGD","Bangladesh",TRUE,NA
"BFA","Burkina Faso","BOL","Bolivia",TRUE,NA
"BFA","Burkina Faso","BRB","Barbados",TRUE,NA
"BFA","Burkina Faso","BTN","Bhutan",TRUE,NA
"BFA","Burkina Faso","BWA","Botswana",TRUE,NA
"BFA","Burkina Faso","CPV","Cabo Verde",TRUE,NA
"BFA","Burkina Faso","DMA","Dominica",TRUE,NA
"BFA","Burkina Faso","ECU","Ecuador",TRUE,NA
"BFA","Burkina Faso","GRD","Grenada",TRUE,NA
"BFA","Burkina Faso","GUY","Guyana",TRUE,NA
"BFA","Burkina Faso","IRQ","Iraq",TRUE,NA
"BFA","Burkina Faso","KNA","St. Kitts and Nevis",TRUE,NA
"BFA","Burkina Faso","LAO","Lao PDR",TRUE,NA
"BFA","Burkina Faso","LCA","St. Lucia",TRUE,NA
"BFA","Burkina Faso","LSO","Lesotho",TRUE,NA
"BFA","Burkina Faso","MAR","Morocco",TRUE,NA
"BFA","Burkina Faso","MUS","Mauritius",TRUE,NA
"BFA","Burkina Faso","NAM","Namibia",TRUE,NA
"BFA","Burkina Faso","SWZ","Eswatini",TRUE,NA
"BFA","Burkina Faso","SYC","Seychelles",TRUE,NA
"BFA","Burkina Faso","TKM","Turkmenistan",TRUE,NA
"CIV","Côte d'Ivoire","BGD","Bangladesh",TRUE,NA
"CIV","Côte d'Ivoire","BOL","Bolivia",TRUE,NA
"CIV","Côte d'Ivoire","BRB","Barbados",TRUE,NA
"CIV","Côte d'Ivoire","BTN","Bhutan",TRUE,NA
"CIV","Côte d'Ivoire","BWA","Botswana",TRUE,NA
"CIV","Côte d'Ivoire","CPV","Cabo Verde",TRUE,NA
"CIV","Côte d'Ivoire","DMA","Dominica",TRUE,NA
"CIV","Côte d'Ivoire","ECU","Ecuador",TRUE,NA
"CIV","Côte d'Ivoire","GRD","Grenada",TRUE,NA
"CIV","Côte d'Ivoire","GUY","Guyana",TRUE,NA
"CIV","Côte d'Ivoire","IRQ","Iraq",TRUE,NA
"CIV","Côte d'Ivoire","KNA","St. Kitts and Nevis",TRUE,NA
"CIV","Côte d'Ivoire","LAO","Lao PDR",TRUE,NA
"CIV","Côte d'Ivoire","LCA","St. Lucia",TRUE,NA
"CIV","Côte d'Ivoire","LSO","Lesotho",TRUE,NA
"CIV","Côte d'Ivoire","MAR","Morocco",TRUE,NA
"CIV","Côte d'Ivoire","MUS","Mauritius",TRUE,NA
"CIV","Côte d'Ivoire","NAM","Namibia",TRUE,NA
"CIV","Côte d'Ivoire","SWZ","Eswatini",TRUE,NA
"CIV","Côte d'Ivoire","SYC","Seychelles",TRUE,NA
"CIV","Côte d'Ivoire","TKM","Turkmenistan",TRUE,NA
"MLI","Mali","BGD","Bangladesh",TRUE,NA
"MLI","Mali","BOL","Bolivia",TRUE,NA
"MLI","Mali","BRB","Barbados",TRUE,NA
"MLI","Mali","BTN","Bhutan",TRUE,NA
"MLI","Mali","BWA","Botswana",TRUE,NA
