"","Treated","Synthetic","Sample Mean"
"agriculture",32.824,34.495,20.113
"industry",14.271,19.285,24.191
"govt_share",0.178,0.178,0.213
"invest_share",0.13,0.13,0.192
"oda_share",56491880.228,109102938.076,69969689.83
"fdi",-0.089,0.511,2.401
"labour",35.427,35.459,35.004
"polity2",-0.227,-2.26,-0.936
"special.gdp_selected.1980",2214.156,2234.178,4678.967
"special.gdp_selected.1985",2021.059,1977.731,4891.134
"special.gdp_selected.1990",1348.43,1617.924,5653.855
"special.gdp_selected.1995",1316.472,1322.65,6283.41
"special.gdp_selected.2001",1762.793,1545.597,6672.789
