"","Treated","Synthetic","Sample Mean"
"agriculture",29.903,43.679,20.113
"industry",20.227,15.893,24.191
"govt_share",0.116,0.157,0.213
"invest_share",0.152,0.168,0.192
"oda_share",123350626.528,122647598.201,69969689.83
"fdi",0.226,1.149,2.401
"labour",44.327,43.893,35.004
"polity2",-5.591,-5.334,-0.936
"special.gdp_selected.1980",1221.381,1173.76,4678.967
"special.gdp_selected.1985",1124.808,1257.174,4891.134
"special.gdp_selected.1990",1117.451,1189.095,5653.855
"special.gdp_selected.1995",1134.326,1185.566,6283.41
"special.gdp_selected.2001",1464.679,1532.798,6672.789
