"","Treated","Synthetic","Sample Mean"
"agriculture",37.667,28.738,13.467
"industry",24.574,21.305,25.781
"govt_share",0.227,0.134,0.231
"invest_share",0.119,0.134,0.216
"oda_share",41172932.389,463605275.349,35186405.937
"fdi",0.385,0.088,3.101
"labour",39.567,31.233,34.535
"polity2",-2,0.227,0.014
"special.gdp_selected.1980",1139.772,1333.432,5879.343
"special.gdp_selected.1985",1316.156,1393.286,6197.831
"special.gdp_selected.1990",1208.382,1531.383,7433.553
"special.gdp_selected.1995",1223.683,1648.08,8422.343
"special.gdp_selected.2001",1029.757,1535.84,9028.519
