"","Treated","Synthetic","Sample Mean"
"agriculture",24.791,30.685,20.113
"industry",19.752,21.859,24.191
"govt_share",0.193,0.204,0.213
"invest_share",0.073,0.122,0.192
"oda_share",59958720.001,115766667.332,69969689.83
"fdi",1.077,1.086,2.401
"labour",32.956,32.903,35.004
"polity2",-6.364,-2.595,-0.936
"special.gdp_selected.1980",2666.682,2662.777,4678.967
"special.gdp_selected.1985",2716.53,2650.544,4891.134
"special.gdp_selected.1990",2428.373,2480.456,5653.855
"special.gdp_selected.1995",2441.3,2378.201,6283.41
"special.gdp_selected.2001",2223.586,2335.615,6672.789
