"","Treated","Synthetic","Sample Mean"
"agriculture",22.16,28.847,20.113
"industry",29.137,27.299,24.191
"govt_share",0.168,0.247,0.213
"invest_share",0.133,0.15,0.192
"oda_share",43689462.961,125694170.841,69969689.83
"fdi",0.762,1.125,2.401
"labour",40.447,31.72,35.004
"polity2",-6.091,-4.875,-0.936
"special.gdp_selected.1980",2402.565,2881.657,4678.967
"special.gdp_selected.1985",3536.363,3330.111,4891.134
"special.gdp_selected.1990",2634.401,2720.717,5653.855
"special.gdp_selected.1995",2426.949,2330.002,6283.41
"special.gdp_selected.2001",2664.768,2854.805,6672.789
