"","Treated","Synthetic","Sample Mean"
"agriculture",9.839,33.555,20.113
"industry",47.398,25.82,24.191
"govt_share",0.435,0.212,0.213
"invest_share",0.176,0.208,0.192
"oda_share",15393431.347,106616754.95,69969689.83
"fdi",0.578,0.554,2.401
"labour",32.097,32.984,35.004
"polity2",-4.227,-4.138,-0.936
"special.gdp_selected.1980",3852.466,4044.802,4678.967
"special.gdp_selected.1985",5242.557,4138.084,4891.134
"special.gdp_selected.1990",3021.775,2942.777,5653.855
"special.gdp_selected.1995",2098.324,2289.92,6283.41
"special.gdp_selected.2001",2714.747,3170.314,6672.789
