"","Treated","Synthetic","Sample Mean"
"agriculture",7.597,10.642,13.467
"industry",51.03,38.038,25.781
"govt_share",0.148,0.237,0.231
"invest_share",0.118,0.239,0.216
"oda_share",1858416.877,4596908.649,35186405.937
"fdi",0.602,1.673,3.101
"labour",30.619,32.943,34.535
"polity2",-6.364,0.246,0.014
"special.gdp_selected.1980",14617.956,11070.957,5879.343
"special.gdp_selected.1985",12808.572,11839.391,6197.831
"special.gdp_selected.1990",11923.688,10667.165,7433.553
"special.gdp_selected.1995",10694.767,10138.395,8422.343
"special.gdp_selected.2001",10162.868,13900.655,9028.519
