"","Treated","Synthetic","Sample Mean"
"agriculture",10.922,10.472,22.103
"industry",82.915,43.529,23.035
"govt_share",0.396,0.269,0.206
"invest_share",0.1,0.153,0.179
"oda_share",12950017.857,72947880.129,79490293.689
"fdi",24.862,2.566,2.054
"labour",32.282,30.919,35.731
"polity2",-6.455,1.701,-1.335
"special.gdp_selected.1980",2976.151,2468.344,4223.614
"special.gdp_selected.1985",2727.949,3724.363,4388.813
"special.gdp_selected.1990",2488.554,4569.774,4979.847
"special.gdp_selected.1995",2145.975,4898.783,5489.444
"special.gdp_selected.2001",14263.422,6560.324,5765.996
